TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
25.03.2026  EMKEL          AL          26,50       2.9241      15.4335     5.2780      Para girişi var, hacim güçlü destek sağlıyor                          
25.03.2026  SUWEN          AL          8,94        0.8914      1.8823      2.1116      Para girişi var, hacim güçlü destek sağlıyor                          
25.03.2026  ARENA          AL          26,30       0.8918      1.2754      1.4302      Yükseliş hacimle destekleniyor                                        
25.03.2026  CLEBI          AL          1803,00     0.5405      0.4163      0.7702      Yükseliş hacimle destekleniyor                                        
25.03.2026  SEYKM          AL          4,65        1.2893      0.9438      0.7320      Yükseliş hacimle destekleniyor                                        
25.03.2026  DURDO          AL          3,68        1.0017      0.6194      0.6184      Yükseliş hacimle destekleniyor                                        
25.03.2026  EKGYO          AL          20,40       0.8733      0.3776      0.4325      Para girişi var ama hacim sınırlı                                     
25.03.2026  AKENR          AL          9,71        2.0576      0.7954      0.3866      Para girişi var ama hacim sınırlı                                     
25.03.2026  KZBGY          AL          3,30        3.5963      1.0994      0.3057      Para girişi var ama hacim sınırlı                                     
25.03.2026  FADE           AL          14,07       2.9963      0.6243      0.2083      Para girişi var ama hacim sınırlı                                     
25.03.2026  ALVES          AL          3,01        1.1379      0.1930      0.1696      Para girişi var ama hacim sınırlı                                     
25.03.2026  MAKIM          AL          16,86       13.9195     2.1251      0.1527      Para girişi var ama hacim sınırlı                                     
25.03.2026  BURVA          AL          759,00      1.7553      0.2329      0.1327      Para girişi var ama hacim sınırlı                                     
25.03.2026  SMRVA          AL          61,05       4.2983      0.4916      0.1144      Para girişi var ama hacim sınırlı                                     
25.03.2026  EUPWR          AL          37,68       18.6509     1.8249      0.0978      Para girişi var ama hacim sınırlı                                     
25.03.2026  TAVHL          AL          305,00      5.8085      0.4362      0.0751      Para girişi var ama hacim sınırlı                                     
25.03.2026  YYLGD          AL          10,96       -3.1634     -0.2220     0.0702      AL sinyali riskli – para çıkışı var                                   
25.03.2026  DOKTA          AL          23,16       21.8571     1.2200      0.0558      Para girişi var ama hacim sınırlı                                     
25.03.2026  GENIL          AL          9,51        2.1336      0.0874      0.0410      Para girişi var ama hacim sınırlı                                     
25.03.2026  AYCES          AL          756,00      19.7893     0.6731      0.0340      Para girişi var ama hacim sınırlı                                     
25.03.2026  ENTRA          AL          10,38       56.1132     1.4081      0.0251      Para girişi var ama hacim sınırlı                                     
25.03.2026  EGPRO          AL          29,94       -1.9453     -0.0427     0.0220      AL sinyali riskli – para çıkışı var                                   
25.03.2026  DOGUB          AL          70,60       4.9867      -0.0528     -0.0106     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  BORLS          AL          2,78        -4.2019     0.0944      -0.0225     AL sinyali riskli – para çıkışı var                                   
25.03.2026  PAMEL          AL          79,70       -59.2000    1.5076      -0.0255     AL sinyali riskli – para çıkışı var                                   
25.03.2026  BURCE          AL          42,70       6.1597      -0.1954     -0.0317     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  BINBN          AL          163,10      -42.9350    2.8897      -0.0673     AL sinyali riskli – para çıkışı var                                   
25.03.2026  TSGYO          AL          6,63        -9.3529     0.7375      -0.0788     AL sinyali riskli – para çıkışı var                                   
25.03.2026  DITAS          AL          45,66       1.5145      -0.1480     -0.0977     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  IHEVA          AL          2,13        -0.3256     0.0454      -0.1395     AL sinyali riskli – para çıkışı var                                   
25.03.2026  SAFKR          AL          26,04       -10.7778    2.4162      -0.2242     AL sinyali riskli – para çıkışı var                                   
25.03.2026  KLMSN          AL          29,68       1.5586      -0.3791     -0.2433     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  MOBTL          AL          10,92       -3.9573     1.3136      -0.3319     AL sinyali riskli – para çıkışı var                                   
25.03.2026  ULUUN          AL          7,61        1.2356      -0.4946     -0.4003     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  DOHOL          AL          21,14       1.1203      -0.4632     -0.4134     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  BANVT          AL          151,50      0.4749      -0.3629     -0.7642     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
25.03.2026  YIGIT          AL          22,34       -0.5321     0.4578      -0.8603     AL sinyali riskli – para çıkışı var                                   
25.03.2026  TEHOL          AL          17,64       -0.6215     1.3564      -2.1823     AL sinyali riskli – para çıkışı var                                   
25.03.2026  TDGYO          AL          19,25       -0.9911     4.5574      -4.5985     AL sinyali riskli – para çıkışı var                                   
25.03.2026  ULUFA          AL          4,69        -0.0729     1.4139      -19.3847    PGC çok küçük, oran şişmiş – dikkatli yorumla                         
25.03.2026  KZGYO          AL          23,28       -0.2967     8.6118      -29.0267    AL sinyali riskli – para çıkışı var                                   
