# Son Güncelleme: 24.06.2026 18:49:45
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
24.06.2026  EKIZ           AL          83,60       1.0000      2.5594      2.5594      Para girişi var, hacim güçlü destek sağlıyor                          
24.06.2026  SANFM          AL          9,42        -0.3310     -0.7557     2.2834      AL sinyali riskli – para çıkışı var                                   
24.06.2026  INVEO          AL          8,53        2.8838      3.8925      1.3498      Yükseliş hacimle destekleniyor                                        
24.06.2026  GENIL          AL          9,62        10.3781     10.5060     1.0123      Orta düzey destek, yükseliş uyumlu ama zayıf                          
24.06.2026  OZYSR          AL          12,09       4.7550      4.3945      0.9242      Orta düzey destek, yükseliş uyumlu ama zayıf                          
24.06.2026  IDGYO          AL          4,85        0.9504      0.8175      0.8602      Orta düzey destek, yükseliş uyumlu ama zayıf                          
24.06.2026  BRLSM          AL          19,73       3.2477      2.7154      0.8361      Orta düzey destek, yükseliş uyumlu ama zayıf                          
24.06.2026  ADEL           AL          31,94       -0.4820     -0.3462     0.7181      AL sinyali riskli – para çıkışı var                                   
24.06.2026  AKSUE          AL          38,14       -0.8476     -0.5635     0.6648      AL sinyali riskli – para çıkışı var                                   
24.06.2026  KTSKR          AL          103,30      1.0163      0.6423      0.6321      Yükseliş hacimle destekleniyor                                        
24.06.2026  ANGEN          AL          11,53       2.4227      1.4761      0.6093      Yükseliş hacimle destekleniyor                                        
24.06.2026  SEGMN          AL          53,95       -1.1660     -0.6958     0.5967      AL sinyali riskli – para çıkışı var                                   
24.06.2026  DOCO           AL          11607,50    -0.4991     -0.2560     0.5130      AL sinyali riskli – para çıkışı var                                   
24.06.2026  AKHAN          AL          34,06       -0.8052     -0.3882     0.4821      AL sinyali riskli – para çıkışı var                                   
24.06.2026  MCARD          AL          169,50      -0.1651     -0.0735     0.4449      AL sinyali riskli – para çıkışı var                                   
24.06.2026  AVPGY          AL          58,25       0.5103      0.2245      0.4399      Para girişi var ama hacim sınırlı                                     
24.06.2026  DIRIT          AL          26,00       1.5000      0.4868      0.3245      Para girişi var ama hacim sınırlı                                     
24.06.2026  JANTS          AL          16,29       -0.5852     -0.1572     0.2686      AL sinyali riskli – para çıkışı var                                   
24.06.2026  BIENY          AL          23,00       -0.7934     -0.1953     0.2461      AL sinyali riskli – para çıkışı var                                   
24.06.2026  BFREN          AL          136,50      -2.4409     -0.4454     0.1825      AL sinyali riskli – para çıkışı var                                   
24.06.2026  AKSGY          AL          9,73        2.2990      0.4061      0.1766      Para girişi var ama hacim sınırlı                                     
24.06.2026  TKNSA          AL          19,55       -6.4385     -0.5752     0.0893      AL sinyali riskli – para çıkışı var                                   
24.06.2026  ALKA           AL          9,50        -4.2450     -0.3450     0.0813      AL sinyali riskli – para çıkışı var                                   
24.06.2026  PARSN          AL          92,75       -1.4683     -0.0946     0.0644      AL sinyali riskli – para çıkışı var                                   
24.06.2026  ECILC          AL          79,95       0.1573      0.0080      0.0511      Para girişi var ama hacim sınırlı                                     
24.06.2026  YAPRK          AL          12,36       0.8630      0.0256      0.0296      Para girişi var ama hacim sınırlı                                     
24.06.2026  SEKFK          AL          10,29       12.8333     0.3376      0.0263      Para girişi var ama hacim sınırlı                                     
24.06.2026  ANELE          AL          112,00      164.9437    0.5086      0.0031      Para girişi var ama hacim sınırlı                                     
24.06.2026  ALKLC          AL          344,00      187.9530    0.3060      0.0016      Para girişi var ama hacim sınırlı                                     
24.06.2026  QNBTR          AL          210,60      -91.0000    0.0708      -0.0008     AL sinyali riskli – para çıkışı var                                   
24.06.2026  HDFGS          AL          2,63        55.2830     -0.3530     -0.0064     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  CANTE          AL          1,40        -17.6744    0.3672      -0.0208     AL sinyali riskli – para çıkışı var                                   
24.06.2026  KRSTL          AL          10,98       1.2328      -0.0737     -0.0598     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  NUHCM          AL          220,00      -2.1149     0.2010      -0.0950     AL sinyali riskli – para çıkışı var                                   
24.06.2026  ZRGYO          AL          17,99       1.6315      -0.3184     -0.1952     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  KLNMA          AL          9,10        0.2222      -0.0588     -0.2645     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  TDGYO          AL          15,60       1.2429      -0.4878     -0.3925     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  EGPRO          AL          41,46       -7.3601     3.6152      -0.4912     AL sinyali riskli – para çıkışı var                                   
24.06.2026  TUREX          AL          7,78        0.4502      -0.3001     -0.6665     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  DOFER          AL          32,76       0.5760      -0.3872     -0.6723     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  GEDIK          AL          7,37        -3.8677     2.7544      -0.7121     AL sinyali riskli – para çıkışı var                                   
24.06.2026  DNISI          AL          22,80       0.9942      -0.7328     -0.7371     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
24.06.2026  INGRM          AL          430,00      -1.1215     1.9294      -1.7204     AL sinyali riskli – para çıkışı var                                   
24.06.2026  MAKIM          AL          19,78       -4.8636     21.0032     -4.3184     AL sinyali riskli – para çıkışı var                                   
24.06.2026  BIGTK          AL          232,40      -0.1094     3.6294      -33.1751    AL sinyali riskli – para çıkışı var                                   
