TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
27.03.2026  PINSU          AL          11,46       0.1578      3.5977      22.7961     Para girişi var, hacim güçlü destek sağlıyor                          
27.03.2026  GENIL          AL          9,66        -0.4271     -0.4233     0.9909      AL sinyali riskli – para çıkışı var                                   
27.03.2026  SNICA          AL          3,97        3.7864      3.2550      0.8596      Orta düzey destek, yükseliş uyumlu ama zayıf                          
27.03.2026  IMASM          AL          3,73        3.7342      2.1235      0.5687      Yükseliş hacimle destekleniyor                                        
27.03.2026  SAFKR          AL          28,06       7.7430      4.1324      0.5337      Yükseliş hacimle destekleniyor                                        
27.03.2026  MHRGY          AL          3,32        3.0029      1.2423      0.4137      Para girişi var ama hacim sınırlı                                     
27.03.2026  ULAS           AL          37,40       12.7718     4.4713      0.3501      Para girişi var ama hacim sınırlı                                     
27.03.2026  MACKO          AL          33,70       0.5960      0.1472      0.2469      Para girişi var ama hacim sınırlı                                     
27.03.2026  SKYMD          AL          12,63       90.9500     6.8380      0.0752      Para girişi var ama hacim sınırlı                                     
27.03.2026  BJKAS          AL          1,51        39.1503     2.1243      0.0543      Para girişi var ama hacim sınırlı                                     
27.03.2026  BRKVY          AL          83,35       -1.8912     -0.0876     0.0463      AL sinyali riskli – para çıkışı var                                   
27.03.2026  ESEN           AL          3,74        -2.1057     -0.0833     0.0396      AL sinyali riskli – para çıkışı var                                   
27.03.2026  TRILC          AL          15,95       7.4611      0.2928      0.0392      Para girişi var ama hacim sınırlı                                     
27.03.2026  RNPOL          AL          2,01        57.6364     2.0015      0.0347      Para girişi var ama hacim sınırlı                                     
27.03.2026  HURGZ          AL          6,40        17.2596     0.5616      0.0325      Para girişi var ama hacim sınırlı                                     
27.03.2026  POLTK          AL          4812,50     -39.2778    -0.2402     0.0061      AL sinyali riskli – para çıkışı var                                   
27.03.2026  MMCAS          AL          94,50       0.0000      0.0000      0.0000      Belirgin yön yok, nötr sinyal                                         
27.03.2026  EREGL          AL          27,90       5.2099      -0.0490     -0.0094     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  MTRKS          AL          20,62       -0.6069     0.0071      -0.0117     AL sinyali riskli – para çıkışı var                                   
27.03.2026  AHGAZ          AL          21,42       -4.4491     0.1886      -0.0424     AL sinyali riskli – para çıkışı var                                   
27.03.2026  BAKAB          AL          38,64       -42.9000    2.0701      -0.0483     AL sinyali riskli – para çıkışı var                                   
27.03.2026  ICUGS          AL          2,73        1.1476      -0.1008     -0.0878     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  RTALB          AL          3,51        -9.7690     0.9686      -0.0992     AL sinyali riskli – para çıkışı var                                   
27.03.2026  SELEC          AL          81,50       1.5575      -0.1705     -0.1095     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  KTLEV          AL          68,75       6.2092      -0.8361     -0.1347     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  OZATD          AL          217,30      1.1723      -0.3128     -0.2668     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  DAGI           AL          5,42        -1.9297     0.7117      -0.3688     AL sinyali riskli – para çıkışı var                                   
27.03.2026  AVTUR          AL          18,50       1.3223      -0.4880     -0.3691     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  CLEBI          AL          1729,00     0.8435      -0.3288     -0.3898     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
27.03.2026  COSMO          AL          194,40      -5.7755     3.6379      -0.6299     AL sinyali riskli – para çıkışı var                                   
27.03.2026  BAYRK          AL          4,75        -0.3556     0.2919      -0.8209     AL sinyali riskli – para çıkışı var                                   
27.03.2026  BIGEN          AL          9,49        -0.8924     8.8541      -9.9213     AL sinyali riskli – para çıkışı var                                   
