# Son Güncelleme: 06.07.2026 18:49:38
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
06.07.2026  FENER          AL          3,11        0.4480      2.0446      4.5633      Para girişi var, hacim güçlü destek sağlıyor                          
06.07.2026  SKYMD          AL          15,35       -0.2653     -0.4582     1.7275      AL sinyali riskli – para çıkışı var                                   
06.07.2026  AKSEN          AL          85,05       1.8391      2.3456      1.2754      Yükseliş hacimle destekleniyor                                        
06.07.2026  BIGTK          AL          281,50      1.3566      1.4073      1.0374      Orta düzey destek, yükseliş uyumlu ama zayıf                          
06.07.2026  AKSGY          AL          9,58        -0.9159     -0.9232     1.0080      AL sinyali riskli – para çıkışı var                                   
06.07.2026  HURGZ          AL          6,67        0.8188      0.6775      0.8274      Orta düzey destek, yükseliş uyumlu ama zayıf                          
06.07.2026  FADE           AL          15,68       1.1583      0.8734      0.7540      Yükseliş hacimle destekleniyor                                        
06.07.2026  BIZIM          AL          28,06       5.1437      3.1333      0.6091      Yükseliş hacimle destekleniyor                                        
06.07.2026  ATSYH          AL          118,00      -1.1100     -0.5399     0.4864      AL sinyali riskli – para çıkışı var                                   
06.07.2026  MOPAS          AL          33,30       -1.5079     -0.6137     0.4070      AL sinyali riskli – para çıkışı var                                   
06.07.2026  INFO           AL          7,38        -2.3304     -0.8943     0.3837      AL sinyali riskli – para çıkışı var                                   
06.07.2026  DENGE          AL          2,50        2.2233      0.8308      0.3737      Para girişi var ama hacim sınırlı                                     
06.07.2026  ATATR          AL          16,20       2.7855      0.7371      0.2646      Para girişi var ama hacim sınırlı                                     
06.07.2026  MACKO          AL          33,58       -1.3647     -0.3488     0.2556      AL sinyali riskli – para çıkışı var                                   
06.07.2026  HUBVC          AL          3,03        1.6965      0.3328      0.1962      Para girişi var ama hacim sınırlı                                     
06.07.2026  AVPGY          AL          56,50       -2.1064     -0.4042     0.1919      AL sinyali riskli – para çıkışı var                                   
06.07.2026  OTTO           AL          174,90      1.4739      0.2715      0.1842      Para girişi var ama hacim sınırlı                                     
06.07.2026  VKFYO          AL          28,54       11.0157     1.8790      0.1706      Para girişi var ama hacim sınırlı                                     
06.07.2026  BLCYT          AL          23,00       1.5893      0.2427      0.1527      Para girişi var ama hacim sınırlı                                     
06.07.2026  GLCVY          AL          56,60       -1.3466     -0.1566     0.1163      AL sinyali riskli – para çıkışı var                                   
06.07.2026  NTGAZ          AL          11,47       -0.9877     -0.1048     0.1061      AL sinyali riskli – para çıkışı var                                   
06.07.2026  BRMEN          AL          19,54       -9.3857     -0.3653     0.0389      AL sinyali riskli – para çıkışı var                                   
06.07.2026  ETILR          AL          5,78        72.1538     1.7892      0.0248      Para girişi var ama hacim sınırlı                                     
06.07.2026  TURGG          AL          27,92       -30.4615    -0.4110     0.0135      AL sinyali riskli – para çıkışı var                                   
06.07.2026  FRIGO          AL          1,85        44.1944     0.5730      0.0130      Para girişi var ama hacim sınırlı                                     
06.07.2026  KRTEK          AL          23,28       11.3182     0.0532      0.0047      Para girişi var ama hacim sınırlı                                     
06.07.2026  IHGZT          AL          1,33        41.6000     -0.6146     -0.0148     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  MSGYO          AL          6,03        -4.9667     0.2402      -0.0484     AL sinyali riskli – para çıkışı var                                   
06.07.2026  EDATA          AL          18,91       -0.4705     0.0290      -0.0617     AL sinyali riskli – para çıkışı var                                   
06.07.2026  MEYSU          AL          13,26       -3.1286     0.3124      -0.0998     AL sinyali riskli – para çıkışı var                                   
06.07.2026  IZFAS          AL          63,50       -2.0556     0.2343      -0.1140     AL sinyali riskli – para çıkışı var                                   
06.07.2026  TARKM          AL          527,00      -3.1994     0.5248      -0.1640     AL sinyali riskli – para çıkışı var                                   
06.07.2026  OYAYO          AL          49,86       -0.7569     0.1299      -0.1717     AL sinyali riskli – para çıkışı var                                   
06.07.2026  AVHOL          AL          39,00       1.4579      -0.2698     -0.1850     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  MARBL          AL          13,22       -2.0205     0.5394      -0.2670     AL sinyali riskli – para çıkışı var                                   
06.07.2026  EFOR           AL          15,35       1.5322      -0.5729     -0.3739     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  MEDTR          AL          28,90       1.0383      -0.4946     -0.4763     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  A1CAP          AL          10,88       0.9264      -0.4789     -0.5169     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  KRPLS          AL          9,40        0.9186      -0.5525     -0.6015     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  SOKE           AL          16,33       0.0772      -0.0595     -0.7712     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
06.07.2026  DARDL          AL          1,99        0.3343      -0.2604     -0.7792     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
