# Son Güncelleme: 12.08.2026 19:21:15
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
12.08.2026  SNPAM          AL          19,75       1.3182      128.3737    97.3869     Para girişi var, hacim güçlü destek sağlıyor                          
12.08.2026  LRSHO          AL          2,99        0.3226      4.0710      12.6189     Para girişi var, hacim güçlü destek sağlıyor                          
12.08.2026  DOCO           AL          11420,00    0.3682      2.7133      7.3690      Para girişi var, hacim güçlü destek sağlıyor                          
12.08.2026  DESA           AL          9,85        0.6599      1.2126      1.8376      Yükseliş hacimle destekleniyor                                        
12.08.2026  ESCOM          AL          5,95        1.2336      2.1205      1.7190      Yükseliş hacimle destekleniyor                                        
12.08.2026  MIATK          AL          29,88       0.2439      0.3403      1.3952      Yükseliş hacimle destekleniyor                                        
12.08.2026  TGSAS          AL          182,90      1.0439      1.0600      1.0155      Orta düzey destek, yükseliş uyumlu ama zayıf                          
12.08.2026  KORDS          AL          75,90       -0.2970     -0.2683     0.9035      AL sinyali riskli – para çıkışı var                                   
12.08.2026  OYYAT          AL          34,38       -0.9454     -0.7930     0.8389      AL sinyali riskli – para çıkışı var                                   
12.08.2026  DOFRB          AL          139,80      2.2375      1.7023      0.7608      Yükseliş hacimle destekleniyor                                        
12.08.2026  AVOD           AL          3,85        -0.8600     -0.5998     0.6974      AL sinyali riskli – para çıkışı var                                   
12.08.2026  SMART          AL          23,70       0.5278      0.3667      0.6947      Yükseliş hacimle destekleniyor                                        
12.08.2026  KZGYO          AL          19,55       -0.6459     -0.4477     0.6931      AL sinyali riskli – para çıkışı var                                   
12.08.2026  MNDRS          AL          10,60       2.2147      1.5172      0.6851      Yükseliş hacimle destekleniyor                                        
12.08.2026  SEGMN          AL          52,15       1.9433      1.2105      0.6229      Yükseliş hacimle destekleniyor                                        
12.08.2026  SELVA          AL          1,88        11.4826     6.3839      0.5560      Yükseliş hacimle destekleniyor                                        
12.08.2026  EGEEN          AL          5247,50     1.2698      0.6836      0.5384      Yükseliş hacimle destekleniyor                                        
12.08.2026  HKTM           AL          11,40       0.9383      0.3670      0.3911      Para girişi var ama hacim sınırlı                                     
12.08.2026  BESLR          AL          12,68       2.6531      0.9364      0.3529      Para girişi var ama hacim sınırlı                                     
12.08.2026  AGROT          AL          2,33        3.9967      1.2359      0.3092      Para girişi var ama hacim sınırlı                                     
12.08.2026  SILVR          AL          2,37        16.4706     4.6814      0.2842      Para girişi var ama hacim sınırlı                                     
12.08.2026  MAALT          AL          989,00      0.4038      0.1009      0.2499      Para girişi var ama hacim sınırlı                                     
12.08.2026  BOBET          AL          18,26       3.4978      0.8004      0.2288      Para girişi var ama hacim sınırlı                                     
12.08.2026  BALAT          AL          72,25       0.3500      0.0728      0.2079      Para girişi var ama hacim sınırlı                                     
12.08.2026  AGESA          AL          242,50      15.2039     2.9592      0.1946      Para girişi var ama hacim sınırlı                                     
12.08.2026  GEREL          AL          44,22       2.7028      0.5224      0.1933      Para girişi var ama hacim sınırlı                                     
12.08.2026  AKBNK          AL          68,80       -1.5119     -0.2457     0.1625      AL sinyali riskli – para çıkışı var                                   
12.08.2026  INVEO          AL          7,16        21.4537     3.4240      0.1596      Para girişi var ama hacim sınırlı                                     
12.08.2026  DOKTA          AL          21,38       0.4271      0.0682      0.1596      Para girişi var ama hacim sınırlı                                     
12.08.2026  ULAS           AL          21,30       6.4286      0.9317      0.1449      Para girişi var ama hacim sınırlı                                     
12.08.2026  CIMSA          AL          45,42       -0.1053     -0.0152     0.1446      AL sinyali riskli – para çıkışı var                                   
12.08.2026  TTRAK          AL          413,00      3.0151      0.3879      0.1286      Para girişi var ama hacim sınırlı                                     
12.08.2026  VAKBN          AL          30,92       2.6717      0.2938      0.1100      Para girişi var ama hacim sınırlı                                     
12.08.2026  IHAAS          AL          53,90       11.5468     1.1876      0.1028      Para girişi var ama hacim sınırlı                                     
12.08.2026  DURDO          AL          5,05        0.6727      0.0658      0.0978      Para girişi var ama hacim sınırlı                                     
12.08.2026  KZBGY          AL          2,03        6.4603      0.6155      0.0953      Para girişi var ama hacim sınırlı                                     
12.08.2026  ASTOR          AL          331,75      0.7481      0.0696      0.0930      Para girişi var ama hacim sınırlı                                     
12.08.2026  ULUUN          AL          8,06        1.4522      0.1194      0.0822      Para girişi var ama hacim sınırlı                                     
12.08.2026  DZGYO          AL          7,14        2.2600      0.1711      0.0757      Para girişi var ama hacim sınırlı                                     
12.08.2026  YATAS          AL          33,02       7.3838      0.5450      0.0738      Para girişi var ama hacim sınırlı                                     
12.08.2026  GMTAS          AL          47,00       4.0945      0.2453      0.0599      Para girişi var ama hacim sınırlı                                     
12.08.2026  EUPWR          AL          93,60       3.0282      0.1629      0.0538      Para girişi var ama hacim sınırlı                                     
12.08.2026  KAPLM          AL          425,50      -2.7670     -0.1332     0.0481      AL sinyali riskli – para çıkışı var                                   
