# Son Güncelleme: 09.04.2026 22:02:29
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
09.04.2026  BIGCH          AL          7,08        -0.0299     -0.6476     21.6669     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
09.04.2026  MIATK          AL          42,96       -0.0310     -0.5940     19.1762     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
09.04.2026  EGPRO          AL          29,68       0.0709      0.4213      5.9464      PGC çok küçük, oran şişmiş – dikkatli yorumla                         
09.04.2026  BIOEN          AL          17,35       0.3498      1.9922      5.6945      Para girişi var, hacim güçlü destek sağlıyor                          
09.04.2026  PAHOL          AL          1,56        0.1443      0.8034      5.5677      Para girişi var, hacim güçlü destek sağlıyor                          
09.04.2026  KOCMT          AL          2,56        0.0545      0.1056      1.9375      Yükseliş hacimle destekleniyor                                        
09.04.2026  SNICA          AL          3,91        -0.4340     -0.7181     1.6547      AL sinyali riskli – para çıkışı var                                   
09.04.2026  DZGYO          AL          7,73        -0.1969     -0.2291     1.1632      AL sinyali riskli – para çıkışı var                                   
09.04.2026  KRDMA          AL          32,20       1.2593      1.3582      1.0785      Orta düzey destek, yükseliş uyumlu ama zayıf                          
09.04.2026  GSDDE          AL          9,91        1.3500      1.3435      0.9952      Orta düzey destek, yükseliş uyumlu ama zayıf                          
09.04.2026  KCAER          AL          11,58       1.4103      1.3260      0.9402      Orta düzey destek, yükseliş uyumlu ama zayıf                          
09.04.2026  ISDMR          AL          44,00       2.1615      1.9437      0.8992      Orta düzey destek, yükseliş uyumlu ama zayıf                          
09.04.2026  BINHO          AL          9,03        -0.7836     -0.6508     0.8306      AL sinyali riskli – para çıkışı var                                   
09.04.2026  ADGYO          AL          58,85       2.4629      2.0216      0.8208      Orta düzey destek, yükseliş uyumlu ama zayıf                          
09.04.2026  KERVN          AL          4,66        -0.6177     -0.5028     0.8140      AL sinyali riskli – para çıkışı var                                   
09.04.2026  TABGD          AL          250,00      0.5997      0.4465      0.7446      Yükseliş hacimle destekleniyor                                        
09.04.2026  PARSN          AL          82,00       0.5459      0.3710      0.6796      Yükseliş hacimle destekleniyor                                        
09.04.2026  ZGYO           AL          29,22       -0.7719     -0.4728     0.6126      AL sinyali riskli – para çıkışı var                                   
09.04.2026  CVKMD          AL          35,44       3.4741      2.0767      0.5978      Yükseliş hacimle destekleniyor                                        
09.04.2026  MAVI           AL          42,76       0.9841      0.5334      0.5421      Yükseliş hacimle destekleniyor                                        
09.04.2026  AKFGY          AL          2,80        -0.4255     -0.2042     0.4798      AL sinyali riskli – para çıkışı var                                   
09.04.2026  ALCTL          AL          140,80      2.4019      1.0509      0.4375      Para girişi var ama hacim sınırlı                                     
09.04.2026  BAYRK          AL          4,66        2.0538      0.8674      0.4223      Para girişi var ama hacim sınırlı                                     
09.04.2026  DOHOL          AL          20,78       -1.8613     -0.7090     0.3809      AL sinyali riskli – para çıkışı var                                   
09.04.2026  PENTA          AL          13,16       -0.1938     -0.0705     0.3640      AL sinyali riskli – para çıkışı var                                   
09.04.2026  A1CAP          AL          14,54       -2.0676     -0.7199     0.3482      AL sinyali riskli – para çıkışı var                                   
09.04.2026  BRISA          AL          83,90       -2.0000     -0.6520     0.3260      AL sinyali riskli – para çıkışı var                                   
09.04.2026  ANGEN          AL          10,48       -1.4608     -0.4630     0.3170      AL sinyali riskli – para çıkışı var                                   
09.04.2026  CWENE          AL          32,56       7.3982      2.2856      0.3089      Para girişi var ama hacim sınırlı                                     
09.04.2026  ADEL           AL          45,72       -0.7153     -0.1996     0.2791      AL sinyali riskli – para çıkışı var                                   
09.04.2026  IHLAS          AL          2,04        -1.1212     -0.3124     0.2786      AL sinyali riskli – para çıkışı var                                   
