# Son Güncelleme: 27.08.2026 20:39:14
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
27.08.2026  MARTI          AL          1,46        0.2900      5.2133      17.9770     Para girişi var, hacim güçlü destek sağlıyor                          
27.08.2026  PNSUT          AL          11,02       0.9979      10.9355     10.9582     Para girişi var, hacim güçlü destek sağlıyor                          
27.08.2026  PINSU          AL          10,35       0.9571      2.9537      3.0861      Para girişi var, hacim güçlü destek sağlıyor                          
27.08.2026  POLTK          AL          4305,00     0.9759      1.2353      1.2658      Yükseliş hacimle destekleniyor                                        
27.08.2026  EKIZ           AL          60,45       7.0000      7.9740      1.1391      Orta düzey destek, yükseliş uyumlu ama zayıf                          
27.08.2026  RODRG          AL          25,48       3.6310      4.0716      1.1214      Orta düzey destek, yükseliş uyumlu ama zayıf                          
27.08.2026  ATSYH          AL          120,00      -0.9658     -0.7528     0.7795      AL sinyali riskli – para çıkışı var                                   
27.08.2026  MTRYO          AL          9,22        -1.0092     -0.7744     0.7674      AL sinyali riskli – para çıkışı var                                   
27.08.2026  ULKER          AL          92,65       -0.9998     -0.7052     0.7054      AL sinyali riskli – para çıkışı var                                   
27.08.2026  PKART          AL          134,50      0.6515      0.3958      0.6076      Yükseliş hacimle destekleniyor                                        
27.08.2026  ALARK          AL          109,60      -0.9997     -0.5751     0.5753      AL sinyali riskli – para çıkışı var                                   
27.08.2026  SVGYO          AL          17,80       -1.3148     -0.7283     0.5539      AL sinyali riskli – para çıkışı var                                   
27.08.2026  MHRGY          AL          3,36        -0.7667     -0.4128     0.5384      AL sinyali riskli – para çıkışı var                                   
27.08.2026  MERKO          AL          1,35        -0.9989     -0.4815     0.4821      AL sinyali riskli – para çıkışı var                                   
27.08.2026  GSDHO          AL          4,85        -1.3042     -0.6238     0.4783      AL sinyali riskli – para çıkışı var                                   
27.08.2026  KRDMD          AL          46,56       -0.9999     -0.3529     0.3529      AL sinyali riskli – para çıkışı var                                   
27.08.2026  AKCNS          AL          248,60      1.0280      0.1843      0.1792      Para girişi var ama hacim sınırlı                                     
27.08.2026  ARMGD          AL          198,60      -0.9997     -0.1762     0.1763      AL sinyali riskli – para çıkışı var                                   
27.08.2026  FORMT          AL          1,69        -2.3132     -0.2654     0.1147      AL sinyali riskli – para çıkışı var                                   
27.08.2026  GENKM          AL          10,43       -1.0004     -0.0389     0.0389      AL sinyali riskli – para çıkışı var                                   
27.08.2026  YGGYO          AL          225,80      1.4410      0.0385      0.0267      Para girişi var ama hacim sınırlı                                     
27.08.2026  PRKME          AL          18,41       5.6571      0.1209      0.0214      Para girişi var ama hacim sınırlı                                     
