# Son Güncelleme: 01.09.2026 19:41:22
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
01.09.2026  OYYAT          AL          37,00       0.9863      11.2055     11.3606     Para girişi var, hacim güçlü destek sağlıyor                          
01.09.2026  LYDYE          AL          11080,00    0.3262      1.8518      5.6763      Para girişi var, hacim güçlü destek sağlıyor                          
01.09.2026  HDFGS          AL          2,51        1.8352      2.0043      1.0921      Orta düzey destek, yükseliş uyumlu ama zayıf                          
01.09.2026  MEKAG          AL          3,08        0.5393      0.4002      0.7421      Yükseliş hacimle destekleniyor                                        
01.09.2026  ZEDUR          AL          7,64        -0.7491     -0.5061     0.6756      AL sinyali riskli – para çıkışı var                                   
01.09.2026  BORSK          AL          6,38        2.4265      1.2301      0.5069      Yükseliş hacimle destekleniyor                                        
01.09.2026  SKYMD          AL          14,62       -0.6396     -0.2061     0.3223      AL sinyali riskli – para çıkışı var                                   
01.09.2026  UNLU           AL          10,76       -1.5305     -0.4681     0.3058      AL sinyali riskli – para çıkışı var                                   
01.09.2026  OBASE          AL          36,08       0.2719      0.0747      0.2747      Para girişi var ama hacim sınırlı                                     
01.09.2026  SEKUR          AL          10,94       1.7950      0.4448      0.2478      Para girişi var ama hacim sınırlı                                     
01.09.2026  HUBVC          AL          2,51        1.7930      0.4117      0.2296      Para girişi var ama hacim sınırlı                                     
01.09.2026  BASCM          AL          13,78       -2.0455     -0.4515     0.2207      AL sinyali riskli – para çıkışı var                                   
01.09.2026  DESA           AL          9,63        -2.3500     -0.4830     0.2055      AL sinyali riskli – para çıkışı var                                   
01.09.2026  TBORG          AL          165,00      -0.3653     -0.0490     0.1340      AL sinyali riskli – para çıkışı var                                   
01.09.2026  VRGYO          AL          1,82        3.1004      0.3699      0.1193      Para girişi var ama hacim sınırlı                                     
01.09.2026  ISCTR          AL          12,75       0.8593      0.0732      0.0852      Para girişi var ama hacim sınırlı                                     
01.09.2026  NUHCM          AL          213,00      4.6389      0.3337      0.0719      Para girişi var ama hacim sınırlı                                     
01.09.2026  VAKBN          AL          32,56       6.8385      0.2005      0.0293      Para girişi var ama hacim sınırlı                                     
01.09.2026  SONME          AL          141,00      2.0290      0.0487      0.0240      Para girişi var ama hacim sınırlı                                     
01.09.2026  DGGYO          AL          34,72       65.5455     1.1757      0.0179      Para girişi var ama hacim sınırlı                                     
01.09.2026  ECZYT          AL          315,00      -31.6667    -0.4938     0.0156      AL sinyali riskli – para çıkışı var                                   
01.09.2026  SNPAM          AL          19,61       -5.5000     -0.0752     0.0137      AL sinyali riskli – para çıkışı var                                   
01.09.2026  NIBAS          AL          4,46        -203.8777   -0.6012     0.0029      AL sinyali riskli – para çıkışı var                                   
01.09.2026  BOBET          AL          20,78       173.5146    0.0981      0.0006      Para girişi var ama hacim sınırlı                                     
01.09.2026  SUMAS          AL          273,00      0.0000      0.0000      0.0000      Belirgin yön yok, nötr sinyal                                         
01.09.2026  VAKFN          AL          1,13        -5.3893     0.1499      -0.0278     AL sinyali riskli – para çıkışı var                                   
01.09.2026  EUREN          AL          3,85        -1.0122     0.2767      -0.2734     AL sinyali riskli – para çıkışı var                                   
01.09.2026  BALAT          AL          69,00       1.0971      -0.3154     -0.2875     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
01.09.2026  NATEN          AL          5,29        -1.0424     0.2998      -0.2876     AL sinyali riskli – para çıkışı var                                   
01.09.2026  ISGSY          AL          15,60       -2.0714     0.7904      -0.3816     AL sinyali riskli – para çıkışı var                                   
01.09.2026  KBORU          AL          19,46       -8.2408     3.5050      -0.4253     AL sinyali riskli – para çıkışı var                                   
01.09.2026  CASA           AL          69,80       1.1000      -0.9009     -0.8190     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
01.09.2026  BNTAS          AL          6,25        -0.8515     1.1718      -1.3762     AL sinyali riskli – para çıkışı var                                   
01.09.2026  EKIZ           AL          58,65       0.6154      -0.9531     -1.5488     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
01.09.2026  ZERGY          AL          9,76        -0.0990     0.2317      -2.3400     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
01.09.2026  CRFSA          AL          317,50      -0.1172     0.3901      -3.3282     AL sinyali riskli – para çıkışı var                                   
01.09.2026  GIPTA          AL          76,40       -0.3604     1.4694      -4.0775     AL sinyali riskli – para çıkışı var                                   
