# Son Güncelleme: 04.08.2026 18:55:44
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
04.08.2026  YIGIT          AL          20,98       -0.0477     -0.6336     13.2879     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
04.08.2026  SDTTR          AL          240,70      0.2382      0.9611      4.0348      Para girişi var, hacim güçlü destek sağlıyor                          
04.08.2026  GARAN          AL          131,80      0.0918      0.2532      2.7586      PGC çok küçük, oran şişmiş – dikkatli yorumla                         
04.08.2026  GOKNR          AL          23,52       -0.1477     -0.3077     2.0832      AL sinyali riskli – para çıkışı var                                   
04.08.2026  DESA           AL          9,48        -0.1955     -0.3120     1.5959      AL sinyali riskli – para çıkışı var                                   
04.08.2026  VAKFA          AL          11,09       1.0402      1.4023      1.3481      Yükseliş hacimle destekleniyor                                        
04.08.2026  MNDTR          AL          5,26        1.0839      0.9651      0.8904      Orta düzey destek, yükseliş uyumlu ama zayıf                          
04.08.2026  BFREN          AL          125,60      -0.9945     -0.8808     0.8857      AL sinyali riskli – para çıkışı var                                   
04.08.2026  BIOEN          AL          17,90       -0.9333     -0.7779     0.8335      AL sinyali riskli – para çıkışı var                                   
04.08.2026  GRNYO          AL          14,66       0.4400      0.3100      0.7046      Yükseliş hacimle destekleniyor                                        
04.08.2026  PENTA          AL          13,50       0.9656      0.6247      0.6470      Yükseliş hacimle destekleniyor                                        
04.08.2026  BRMEN          AL          18,50       -1.1054     -0.6934     0.6272      AL sinyali riskli – para çıkışı var                                   
04.08.2026  KRSTL          AL          10,56       0.8398      0.4718      0.5619      Yükseliş hacimle destekleniyor                                        
04.08.2026  ALKLC          AL          400,00      -0.6111     -0.3257     0.5329      AL sinyali riskli – para çıkışı var                                   
04.08.2026  PAMEL          AL          90,45       3.1935      1.6817      0.5266      Yükseliş hacimle destekleniyor                                        
04.08.2026  ISYAT          AL          7,73        -1.2857     -0.6381     0.4963      AL sinyali riskli – para çıkışı var                                   
04.08.2026  MOBTL          AL          15,11       7.0616      3.2520      0.4605      Para girişi var ama hacim sınırlı                                     
04.08.2026  TCELL          AL          107,60      1.1903      0.5419      0.4553      Para girişi var ama hacim sınırlı                                     
04.08.2026  ACSEL          AL          127,00      -0.3867     -0.1622     0.4194      AL sinyali riskli – para çıkışı var                                   
04.08.2026  GESAN          AL          79,85       -0.2907     -0.1115     0.3837      AL sinyali riskli – para çıkışı var                                   
04.08.2026  GLYHO          AL          16,73       2.3951      0.9039      0.3774      Para girişi var ama hacim sınırlı                                     
04.08.2026  MCARD          AL          136,80      2.4511      0.8340      0.3402      Para girişi var ama hacim sınırlı                                     
04.08.2026  IZMDC          AL          13,03       -0.2884     -0.0910     0.3154      AL sinyali riskli – para çıkışı var                                   
04.08.2026  IHLAS          AL          1,03        -0.5900     -0.1776     0.3010      AL sinyali riskli – para çıkışı var                                   
04.08.2026  TTKOM          AL          53,90       1.4861      0.4285      0.2883      Para girişi var ama hacim sınırlı                                     
04.08.2026  PAHOL          AL          1,40        4.5595      1.2246      0.2686      Para girişi var ama hacim sınırlı                                     
04.08.2026  VKFYO          AL          25,22       1.0150      0.2611      0.2572      Para girişi var ama hacim sınırlı                                     
04.08.2026  SEGMN          AL          48,70       1.7813      0.4428      0.2486      Para girişi var ama hacim sınırlı                                     
04.08.2026  ETYAT          AL          13,39       4.1007      0.9624      0.2347      Para girişi var ama hacim sınırlı                                     
04.08.2026  THYAO          AL          323,75      -1.0015     -0.2321     0.2318      AL sinyali riskli – para çıkışı var                                   
04.08.2026  OZGYO          AL          2,26        -0.2050     -0.0372     0.1815      AL sinyali riskli – para çıkışı var                                   
04.08.2026  CWENE          AL          41,14       15.9732     2.8531      0.1786      Para girişi var ama hacim sınırlı                                     
04.08.2026  BRYAT          AL          1730,00     1.5017      0.2604      0.1734      Para girişi var ama hacim sınırlı                                     
04.08.2026  BAGFS          AL          24,00       9.0714      1.5456      0.1704      Para girişi var ama hacim sınırlı                                     
04.08.2026  ISCTR          AL          12,59       0.1414      0.0234      0.1654      Para girişi var ama hacim sınırlı                                     
