TARIH       SEMBOL  GUN.F%  SON  
06.03.2026  A1CAP   -5,32   16,74
06.03.2026  A1YEN   0,61    29,90
06.03.2026  ACSEL   -3,14   101,70
06.03.2026  ADEL    -3,19   32,22
06.03.2026  ADESE   -0,97   1,02 
06.03.2026  ADGYO   -0,38   51,85
06.03.2026  AEFES   -9,92   16,89
06.03.2026  AFYON   -0,20   15,09
06.03.2026  AGESA   -2,20   213,70
06.03.2026  AGHOL   -4,01   29,68
06.03.2026  AGROT   -2,42   2,82 
06.03.2026  AGYO    0,13    7,56 
06.03.2026  AHGAZ   0,58    24,10
06.03.2026  AHSGY   -5,43   19,84
06.03.2026  AKBNK   -6,97   74,05
06.03.2026  AKCNS   -0,05   208,00
06.03.2026  AKENR   -2,60   10,10
06.03.2026  AKFGY   -1,40   2,82 
06.03.2026  AKFIS   7,22    31,20
06.03.2026  AKFYE   1,38    19,09
06.03.2026  AKGRT   -1,97   7,46 
06.03.2026  AKMGY   2,99    224,10
06.03.2026  AKSA    1,41    10,06
06.03.2026  AKSEN   0,29    68,05
06.03.2026  AKSGY   0,00    8,32 
06.03.2026  AKSUE   -1,87   26,24
06.03.2026  AKYHO   -2,25   2,61 
06.03.2026  ALARK   -4,56   93,05
06.03.2026  ALBRK   -1,29   8,39 
06.03.2026  ALCAR   -1,24   754,50
06.03.2026  ALCTL   -2,45   119,50
06.03.2026  ALFAS   -2,13   37,62
06.03.2026  ALGYO   4,43    5,19 
06.03.2026  ALKA    -3,60   10,70
06.03.2026  ALKIM   -2,17   16,72
06.03.2026  ALKLC   -1,69   262,00
06.03.2026  ALTNY   -2,11   16,20
06.03.2026  ALVES   -1,27   3,12 
06.03.2026  ANELE   -2,67   14,20
06.03.2026  ANGEN   -0,78   10,17
06.03.2026  ANHYT   -2,14   109,70
06.03.2026  ANSGR   -0,45   26,48
06.03.2026  ARASE   -1,44   82,35
06.03.2026  ARCLK   -2,85   109,00
06.03.2026  ARDYZ   -3,02   39,86
06.03.2026  ARENA   -0,72   24,78
06.03.2026  ARFYE   -5,02   22,70
06.03.2026  ARMGD   3,88    83,00
06.03.2026  ARSAN   -2,16   3,63 
06.03.2026  ARTMS   -3,32   36,06
06.03.2026  ARZUM   1,99    2,56 
06.03.2026  ASELS   -3,33   333,50
06.03.2026  ASGYO   0,27    11,00
06.03.2026  ASTOR   1,84    176,70
06.03.2026  ASUZU   1,31    65,90
06.03.2026  ATAGY   -0,23   13,00
06.03.2026  ATAKP   -1,40   52,80
06.03.2026  ATATP   -9,54   152,70
06.03.2026  ATEKS   0,00    nan  
06.03.2026  ATLAS   -3,66   7,90 
06.03.2026  ATSYH   -2,07   52,00
06.03.2026  AVGYO   -1,06   13,02
06.03.2026  AVHOL   -2,53   35,38
06.03.2026  AVOD    6,51    4,91 
06.03.2026  AVPGY   -0,68   49,76
06.03.2026  AVTUR   -5,21   20,00
06.03.2026  AYCES   9,11    587,00
