TARIH       SEMBOL  GUN.F%  SON  
05.03.2026  DESA    1,30    11,68
05.03.2026  DESPC   0,15    39,06
05.03.2026  DEVA    3,19    66,40
05.03.2026  DGATE   2,98    65,70
05.03.2026  DGGYO   0,07    29,00
05.03.2026  DGNMO   2,77    4,45 
05.03.2026  DIRIT   3,50    29,02
05.03.2026  DITAS   5,08    47,12
05.03.2026  DMRGD   -2,17   3,60 
05.03.2026  DMSAS   -0,81   8,58 
05.03.2026  DNISI   0,90    20,18
05.03.2026  DOAS    1,04    194,60
05.03.2026  DOCO    0,10    9.852,50
05.03.2026  DOFER   7,16    33,84
05.03.2026  DOFRB   1,02    88,95
05.03.2026  DOGUB   9,98    57,85
05.03.2026  DOHOL   1,51    20,18
05.03.2026  DOKTA   7,14    23,40
05.03.2026  DSTKF   3,91    1.673,00
05.03.2026  DUNYH   4,14    120,80
05.03.2026  DURDO   1,89    3,78 
05.03.2026  DURKN   2,92    17,60
05.03.2026  DYOBY   3,36    13,23
05.03.2026  DZGYO   2,53    7,70 
05.03.2026  EBEBK   2,41    63,80
05.03.2026  ECILC   -0,96   112,90
05.03.2026  ECOGR   -0,67   26,80
05.03.2026  ECZYT   -0,18   280,50
05.03.2026  EDATA   5,46    15,84
05.03.2026  EDIP    1,81    36,02
05.03.2026  EFOR    2,18    19,20
05.03.2026  EGEEN   1,10    5.980,00
05.03.2026  EGEGY   -1,33   29,60
05.03.2026  EGEPO   7,48    13,08
05.03.2026  EGGUB   0,61    90,95
05.03.2026  EGPRO   1,66    25,78
05.03.2026  EGSER   3,52    2,94 
05.03.2026  EKGYO   0,09    21,62
05.03.2026  EKIZ    -3,17   104,00
05.03.2026  EKOS    6,45    6,27 
05.03.2026  EKSUN   1,91    5,33 
05.03.2026  ELITE   1,65    29,52
05.03.2026  EMKEL   3,62    19,44
05.03.2026  EMNIS   0,93    152,40
05.03.2026  ENDAE   1,15    13,23
05.03.2026  ENERY   1,07    9,45 
05.03.2026  ENJSA   0,78    102,80
05.03.2026  ENKAI   0,16    93,20
05.03.2026  ENSRI   3,06    30,94
05.03.2026  ENTRA   1,50    10,12
05.03.2026  EPLAS   4,55    6,21 
05.03.2026  ERBOS   3,36    175,20
05.03.2026  ERCB    1,39    54,75
05.03.2026  EREGL   0,07    28,88
05.03.2026  ERSU    7,43    19,23
05.03.2026  ESCAR   -1,01   27,34
05.03.2026  ESCOM   -9,92   5,99 
05.03.2026  ESEN    1,55    3,93 
05.03.2026  ETILR   6,96    3,84 
05.03.2026  ETYAT   -1,42   22,18
05.03.2026  EUHOL   3,95    15,80
05.03.2026  EUKYO   0,56    17,90
05.03.2026  EUPWR   9,97    35,52
05.03.2026  EUREN   2,38    4,73 
05.03.2026  EUYO    1,52    18,72
05.03.2026  EYGYO   1,76    4,04 
