TARIH       SEMBOL  GUN.F%  SON  
31.03.2026  A1CAP   0,36    13,85
31.03.2026  A1YEN   -0,65   33,40
31.03.2026  ACSEL   -1,03   106,00
31.03.2026  ADEL    10,00   39,60
31.03.2026  ADESE   0,00    0,95 
31.03.2026  ADGYO   3,64    56,90
31.03.2026  AEFES   3,77    16,78
31.03.2026  AFYON   -4,02   16,49
31.03.2026  AGESA   4,49    228,20
31.03.2026  AGHOL   1,71    27,42
31.03.2026  AGROT   1,78    2,86 
31.03.2026  AGYO    -0,50   7,89 
31.03.2026  AHGAZ   5,51    22,58
31.03.2026  AHSGY   9,96    18,65
31.03.2026  AKBNK   0,61    66,00
31.03.2026  AKCNS   -0,25   199,20
31.03.2026  AKENR   -1,26   9,42 
31.03.2026  AKFGY   1,91    2,67 
31.03.2026  AKFIS   -3,72   43,50
31.03.2026  AKFYE   5,15    22,46
31.03.2026  AKGRT   1,40    7,22 
31.03.2026  AKMGY   6,74    285,00
31.03.2026  AKSA    2,46    10,83
31.03.2026  AKSEN   -2,10   77,10
31.03.2026  AKSGY   2,90    8,87 
31.03.2026  AKSUE   3,91    28,68
31.03.2026  AKYHO   0,81    2,50 
31.03.2026  ALARK   0,74    88,40
31.03.2026  ALBRK   2,29    8,04 
31.03.2026  ALCAR   0,85    713,00
31.03.2026  ALCTL   1,61    139,00
31.03.2026  ALFAS   0,44    36,54
31.03.2026  ALGYO   6,83    6,10 
31.03.2026  ALKA    1,95    10,46
31.03.2026  ALKIM   -0,23   17,03
31.03.2026  ALKLC   1,00    328,00
31.03.2026  ALTNY   -0,49   14,31
31.03.2026  ALVES   4,21    3,22 
31.03.2026  ANELE   -0,60   14,91
31.03.2026  ANGEN   0,29    10,23
31.03.2026  ANHYT   -1,27   108,50
31.03.2026  ANSGR   1,19    27,26
31.03.2026  ARASE   0,68    89,00
31.03.2026  ARCLK   0,56    108,60
31.03.2026  ARDYZ   0,10    40,54
31.03.2026  ARENA   1,57    24,66
31.03.2026  ARFYE   9,96    26,72
31.03.2026  ARMGD   4,24    91,00
31.03.2026  ARSAN   2,49    3,70 
31.03.2026  ARTMS   -2,09   41,16
31.03.2026  ARZUM   4,96    2,75 
31.03.2026  ASELS   -0,08   320,25
31.03.2026  ASGYO   1,05    10,55
31.03.2026  ASTOR   -0,10   195,00
31.03.2026  ASUZU   4,56    63,00
31.03.2026  ATAGY   -0,08   11,96
31.03.2026  ATAKP   0,49    51,15
31.03.2026  ATATP   0,00    nan  
31.03.2026  ATEKS   10,00   100,10
31.03.2026  ATLAS   3,31    7,80 
31.03.2026  ATSYH   -1,71   49,98
31.03.2026  AVGYO   -1,97   11,45
31.03.2026  AVHOL   2,98    35,90
31.03.2026  AVOD    -6,57   4,55 
31.03.2026  AVPGY   1,27    49,48
31.03.2026  AVTUR   0,29    20,40
31.03.2026  AYCES   -0,62   800,00
31.03.2026  AYDEM   3,28    30,84
31.03.2026  AYEN    9,95    33,58
31.03.2026  AYES    -1,21   29,42
31.03.2026  AYGAZ   1,48    233,20
31.03.2026  AZTEK   1,04    3,90 
31.03.2026  BAGFS   -1,42   35,98
31.03.2026  BAHKM   0,08    129,90
31.03.2026  BAKAB   0,76    39,72
31.03.2026  BALAT   -0,10   99,45
31.03.2026  BALSU   0,92    14,20
31.03.2026  BANVT   0,73    151,30
31.03.2026  BARMA   -0,84   44,82
31.03.2026  BASCM   -0,66   13,61
31.03.2026  BASGZ   0,00    nan  
31.03.2026  BAYRK   -2,33   4,61 
31.03.2026  BEGYO   1,50    4,07 
31.03.2026  BERA    0,88    17,25
31.03.2026  BESLR   1,54    13,15
31.03.2026  BEYAZ   -0,65   27,44
31.03.2026  BFREN   0,30    135,00
31.03.2026  BIENY   0,18    21,96
31.03.2026  BIGCH   5,30    6,76 
31.03.2026  BIGEN   3,23    9,27 
31.03.2026  BIGTK   -9,98   277,50
31.03.2026  BIMAS   0,89    683,00
31.03.2026  BINBN   0,31    160,80
31.03.2026  BINHO   0,22    9,18 
31.03.2026  BIOEN   -3,27   16,59
31.03.2026  BIZIM   1,17    25,90
31.03.2026  BJKAS   0,00    1,45 
31.03.2026  BLCYT   5,03    47,60
31.03.2026  BLUME   0,47    43,18
31.03.2026  BMSCH   0,00    nan  
31.03.2026  BMSTL   0,42    84,50
31.03.2026  BNTAS   1,35    6,00 
