# Son Güncelleme: 24.04.2026 22:06:31
TARIH       SEMBOL  GUN.F%  SON  
17.04.2026  DERIM   2,29    40,20
17.04.2026  DESA    -0,34   14,70
17.04.2026  DESPC   5,08    42,58
17.04.2026  DEVA    1,42    67,90
17.04.2026  DGATE   4,37    76,40
17.04.2026  DGGYO   -1,25   31,56
17.04.2026  DGNMO   9,91    8,87 
17.04.2026  DIRIT   0,48    29,14
17.04.2026  DITAS   1,77    33,26
17.04.2026  DMRGD   -1,18   5,04 
17.04.2026  DMSAS   3,10    8,97 
17.04.2026  DNISI   2,50    21,34
17.04.2026  DOAS    1,27    190,90
17.04.2026  DOCO    6,72    10.000,00
17.04.2026  DOFER   2,41    35,70
17.04.2026  DOFRB   4,23    111,00
17.04.2026  DOGUB   9,97    125,80
17.04.2026  DOHOL   -1,02   21,44
17.04.2026  DOKTA   3,58    24,86
17.04.2026  DSTKF   3,74    2.276,00
17.04.2026  DUNYH   3,23    108,80
17.04.2026  DURDO   8,94    4,63 
17.04.2026  DURKN   -0,47   21,16
17.04.2026  DYOBY   -0,26   15,20
17.04.2026  DZGYO   2,21    8,33 
17.04.2026  EBEBK   4,34    71,00
17.04.2026  ECILC   1,78    91,45
17.04.2026  ECOGR   -1,47   37,44
17.04.2026  ECZYT   0,14    365,00
17.04.2026  EDATA   9,20    24,70
17.04.2026  EDIP    2,46    37,48
17.04.2026  EFOR    10,00   8,14 
17.04.2026  EGEEN   9,90    6.995,00
17.04.2026  EGEGY   -2,33   31,06
17.04.2026  EGEPO   2,90    17,76
17.04.2026  EGGUB   -2,11   125,30
17.04.2026  EGPRO   7,98    37,90
17.04.2026  EGSER   2,06    2,97 
17.04.2026  EKGYO   6,58    22,34
17.04.2026  EKIZ    3,26    95,00
17.04.2026  EKOS    3,53    5,87 
17.04.2026  EKSUN   9,21    6,05 
17.04.2026  ELITE   3,46    30,46
17.04.2026  EMKEL   9,93    29,44
17.04.2026  EMNIS   1,42    150,10
17.04.2026  ENDAE   1,29    16,49
17.04.2026  ENERY   1,20    9,29 
17.04.2026  ENJSA   0,08    127,00
17.04.2026  ENKAI   4,05    108,00
17.04.2026  ENSRI   -7,74   21,92
17.04.2026  ENTRA   1,36    11,18
17.04.2026  EPLAS   2,86    6,12 
17.04.2026  ERBOS   2,14    205,20
17.04.2026  ERCB    3,42    63,50
17.04.2026  EREGL   3,69    32,04
17.04.2026  ERSU    0,15    26,54
17.04.2026  ESCAR   2,50    51,25
17.04.2026  ESCOM   8,22    4,74 
17.04.2026  ESEN    3,13    4,28 
17.04.2026  ETILR   7,09    4,53 
17.04.2026  ETYAT   1,83    22,30
17.04.2026  EUHOL   4,06    13,58
17.04.2026  EUKYO   3,77    22,00
17.04.2026  EUPWR   1,31    40,20
17.04.2026  EUREN   1,90    5,37 
17.04.2026  EUYO    3,83    19,00
17.04.2026  EYGYO   1,08    2,80 
17.04.2026  FADE    1,11    15,55
17.04.2026  FENER   3,22    3,21 
17.04.2026  FLAP    5,70    15,01
17.04.2026  FMIZP   3,92    298,50
17.04.2026  FONET   -0,39   5,07 
17.04.2026  FORMT   1,05    2,89 
17.04.2026  FORTE   -0,10   98,15
17.04.2026  FRIGO   3,53    8,79 
17.04.2026  FRMPL   2,77    34,90
17.04.2026  FROTO   3,21    109,30
17.04.2026  FZLGY   -3,76   16,13
17.04.2026  GARAN   6,86    146,40
17.04.2026  GARFA   2,90    29,06
17.04.2026  GATEG   1,25    344,00
17.04.2026  GEDIK   2,75    5,98 
17.04.2026  GEDZA   3,74    29,98
17.04.2026  GENIL   -0,19   10,34
17.04.2026  GENTS   2,71    7,19 
17.04.2026  GEREL   -0,28   35,88
17.04.2026  GESAN   2,06    47,56
17.04.2026  GIPTA   -5,27   89,00
17.04.2026  GLBMD   1,82    12,84
17.04.2026  GLCVY   6,62    63,60
17.04.2026  GLRMK   3,90    244,90
17.04.2026  GLRYH   3,94    4,49 
17.04.2026  GLYHO   1,95    16,21
17.04.2026  GMTAS   6,39    38,98
17.04.2026  GOKNR   1,90    22,54
17.04.2026  GOLTS   2,14    382,00
17.04.2026  GOODY   1,77    15,50
17.04.2026  GOZDE   2,13    21,10
17.04.2026  GRNYO   9,03    17,15
17.04.2026  GRSEL   1,89    324,00
17.04.2026  GRTHO   0,79    255,50
17.04.2026  GSDDE   3,79    10,68
17.04.2026  GSDHO   1,60    5,07 
17.04.2026  GSRAY   1,80    1,13 
17.04.2026  GUBRF   3,06    539,50
17.04.2026  GUNDG   -4,94   827,00
17.04.2026  GWIND   0,15    26,96
17.04.2026  GZNMI   5,05    83,25
17.04.2026  HALKB   4,36    41,14
17.04.2026  HATEK   9,87    16,58
17.04.2026  HATSN   2,03    41,30
17.04.2026  HDFGS   10,00   3,63 
17.04.2026  HEDEF   -1,81   136,00
17.04.2026  HEKTS   2,15    3,32 
17.04.2026  HKTM    4,42    15,12
17.04.2026  HLGYO   1,74    5,84 
17.04.2026  HOROZ   1,39    58,30
17.04.2026  HRKET   4,34    66,15
17.04.2026  HTTBT   2,80    41,90
17.04.2026  HUBVC   2,42    3,38 
17.04.2026  HUNER   4,43    3,30 
17.04.2026  HURGZ   1,42    5,73 
17.04.2026  ICBCT   4,19    15,16
17.04.2026  ICUGS   9,77    4,38 
17.04.2026  IDGYO   0,81    3,73 
17.04.2026  IEYHO   0,20    98,10
17.04.2026  IHAAS   2,34    80,85
17.04.2026  IHEVA   2,74    2,25 
17.04.2026  IHGZT   2,76    1,49 
17.04.2026  IHLAS   2,34    2,19 
17.04.2026  IHLGM   1,92    2,12 
17.04.2026  IHYAY   2,70    1,90 
17.04.2026  IMASM   2,75    4,11 
17.04.2026  INDES   6,16    10,00
17.04.2026  INFO    4,94    3,61 
17.04.2026  INGRM   3,72    432,00
17.04.2026  INTEK   1,56    261,00
17.04.2026  INTEM   5,31    297,50
17.04.2026  INVEO   3,70    8,12 
17.04.2026  INVES   4,04    593,00
17.04.2026  ISCTR   4,64    15,11
17.04.2026  ISDMR   6,64    46,60
17.04.2026  ISFIN   2,54    21,00
17.04.2026  ISGSY   1,95    125,50
17.04.2026  ISGYO   3,35    21,00
17.04.2026  ISKPL   2,03    17,56
17.04.2026  ISMEN   4,57    45,80
17.04.2026  ISSEN   5,56    8,35 
17.04.2026  ISYAT   1,81    8,45 
17.04.2026  IZENR   4,54    10,60
17.04.2026  IZFAS   8,23    72,35
17.04.2026  IZINV   1,11    68,35
17.04.2026  IZMDC   3,56    6,99 
17.04.2026  JANTS   2,85    18,40
17.04.2026  KAPLM   7,62    650,00
17.04.2026  KAREL   -2,81   10,03
17.04.2026  KARSN   4,41    10,90
17.04.2026  KARTN   9,98    85,95
17.04.2026  KATMR   2,14    2,86 
17.04.2026  KAYSE   0,79    5,10 
17.04.2026  KBORU   -3,90   24,12
17.04.2026  KCAER   3,45    12,00
17.04.2026  KCHOL   3,57    211,80
17.04.2026  KENT    0,63    438,00
17.04.2026  KERVN   3,62    4,01 
17.04.2026  KFEIN   6,07    9,08 
17.04.2026  KGYO    8,17    11,38
17.04.2026  KIMMR   4,46    17,56
17.04.2026  KLGYO   4,81    5,45 
17.04.2026  KLKIM   3,43    38,60
17.04.2026  KLMSN   1,95    35,54
17.04.2026  KLNMA   3,99    9,90 
17.04.2026  KLRHO   10,00   119,90
17.04.2026  KLSER   2,84    27,56
17.04.2026  KLSYN   1,63    11,20
17.04.2026  KLYPV   2,79    62,70
17.04.2026  KMPUR   2,72    18,90
17.04.2026  KNFRT   4,95    12,93
17.04.2026  KOCMT   3,86    2,69 
17.04.2026  KONKA   2,10    16,52
17.04.2026  KONTR   9,97    13,12
17.04.2026  KONYA   9,95    4.557,50
17.04.2026  KOPOL   -0,93   6,38 
17.04.2026  KORDS   0,15    65,00
17.04.2026  KOTON   3,77    15,98
17.04.2026  KRDMA   2,75    33,64
17.04.2026  KRDMB   0,94    74,80
17.04.2026  KRDMD   3,30    36,90
17.04.2026  KRGYO   3,20    2,90 
17.04.2026  KRONT   0,96    21,00
17.04.2026  KRPLS   1,76    9,23 
17.04.2026  KRSTL   2,71    9,46 
17.04.2026  KRTEK   0,65    24,84
17.04.2026  KRVGD   -0,34   2,90 
17.04.2026  KSTUR   -1,75   3.502,50
17.04.2026  KTLEV   1,19    85,00
17.04.2026  KTSKR   9,93    128,40
17.04.2026  KUTPO   2,98    100,10
17.04.2026  KUVVA   -0,40   124,50
17.04.2026  KUYAS   -2,08   89,30
17.04.2026  KZBGY   4,50    3,25 
17.04.2026  KZGYO   1,70    23,96
17.04.2026  LIDER   3,63    148,60
17.04.2026  LIDFA   1,67    3,66 
17.04.2026  LILAK   2,53    39,68
17.04.2026  LINK    4,42    5,67 
17.04.2026  LKMNH   1,86    15,84
17.04.2026  LMKDC   -0,18   34,00
17.04.2026  LOGO    2,92    144,30
17.04.2026  LRSHO   3,09    4,00 
17.04.2026  LUKSK   4,75    108,00
17.04.2026  LYDHO   8,11    200,00
17.04.2026  LYDYE   -0,89   15.860,00
17.04.2026  MAALT   -9,68   1.353,00
17.04.2026  MACKO   7,82    41,66
17.04.2026  MAGEN   0,73    62,15
17.04.2026  MAKIM   1,70    18,51
17.04.2026  MAKTK   3,53    14,06
17.04.2026  MANAS   0,24    25,56
17.04.2026  MARBL   2,87    13,25
17.04.2026  MARKA   2,31    55,35
17.04.2026  MARTI   0,00    nan  
17.04.2026  MAVI    3,37    45,40
17.04.2026  MEDTR   2,80    30,06
17.04.2026  MEGAP   9,68    2,72 
17.04.2026  MEGMT   -0,74   80,30
17.04.2026  MEKAG   1,13    4,46 
17.04.2026  MEPET   -2,37   23,06
17.04.2026  MERCN   4,91    20,08
17.04.2026  MERIT   3,14    17,74
17.04.2026  MERKO   -2,81   15,59
17.04.2026  METRO   1,19    6,83 
17.04.2026  MEYSU   -2,97   16,34
23.01.2026  MGROS   0,56    628,50
17.04.2026  MHRGY   2,92    3,88 
17.04.2026  MIATK   3,06    40,46
17.04.2026  MMCAS   3,40    83,70
17.04.2026  MNDRS   0,00    nan  
17.04.2026  MNDTR   2,63    6,24 
17.04.2026  MOBTL   1,25    13,80
17.04.2026  MOGAN   -0,15   13,21
17.04.2026  MOPAS   0,00    41,88
17.04.2026  MPARK   4,93    479,00
17.04.2026  MRGYO   2,48    1,65 
17.04.2026  MRSHL   0,00    nan  
17.04.2026  MSGYO   4,77    8,13 
17.04.2026  MTRKS   4,19    23,40
17.04.2026  MTRYO   -3,37   9,46 
17.04.2026  MZHLD   0,47    6,40 
17.04.2026  NATEN   2,71    8,33 
17.04.2026  NETAS   2,23    64,15
17.04.2026  NIBAS   -6,89   6,62 
17.04.2026  NTGAZ   -0,32   12,40
17.04.2026  NTHOL   4,65    40,98
17.04.2026  NUGYO   2,53    9,72 
17.04.2026  NUHCM   2,50    254,00
17.04.2026  OBAMS   1,11    8,20 
17.04.2026  OBASE   1,16    38,40
17.04.2026  ODAS    2,71    7,21 
17.04.2026  ODINE   -0,62   884,50
17.04.2026  OFSYM   0,91    61,15
17.04.2026  ONCSM   0,45    281,00
17.04.2026  ONRYT   2,12    62,65
17.04.2026  ORCAY   -2,04   3,85 
17.04.2026  ORGE    5,12    80,00
17.04.2026  ORMA    0,43    164,20
17.04.2026  OSMEN   6,27    8,30 
17.04.2026  OSTIM   2,51    2,86 
17.04.2026  OTKAR   0,12    408,50
17.04.2026  OTTO    -2,98   342,00
17.04.2026  OYAKC   0,79    25,54
17.04.2026  OYAYO   2,20    55,70
17.04.2026  OYLUM   2,18    7,96 
17.04.2026  OYYAT   6,62    58,00
17.04.2026  OZATD   -5,09   265,75
17.04.2026  OZGYO   4,48    2,10 
17.04.2026  OZKGY   2,01    13,18
17.04.2026  OZRDN   1,50    32,48
17.04.2026  OZSUB   1,01    23,94
17.04.2026  OZYSR   8,80    48,96
17.04.2026  PAGYO   1,89    129,70
17.04.2026  PAHOL   4,43    1,65 
17.04.2026  PAMEL   2,79    86,50
17.04.2026  PAPIL   9,99    18,28
17.04.2026  PARSN   4,55    85,00
17.04.2026  PASEU   4,30    126,00
17.04.2026  PATEK   -2,59   21,80
17.04.2026  PCILT   -0,22   27,46
17.04.2026  PEKGY   3,45    14,38
17.04.2026  PENGD   2,84    11,59
17.04.2026  PENTA   0,42    14,33
17.04.2026  PETKM   -3,09   21,98
17.04.2026  PETUN   1,37    12,54
17.04.2026  PGSUS   5,86    196,90
17.04.2026  PINSU   0,56    12,62
17.04.2026  PKART   3,57    88,55
17.04.2026  PKENT   1,39    174,60
17.04.2026  PLTUR   3,64    25,08
17.04.2026  PNLSN   2,50    46,68
17.04.2026  PNSUT   0,00    12,90
17.04.2026  POLHO   2,30    23,12
17.04.2026  POLTK   7,88    6.060,00
17.04.2026  PRDGS   3,56    7,57 
17.04.2026  PRKAB   3,98    41,32
17.04.2026  PRKME   2,43    19,80
