TARIH       SEMBOL  GUN.F%  SON  
02.03.2026  A1CAP   5,92    17,35
02.03.2026  A1YEN   -3,77   28,10
02.03.2026  ACSEL   -3,35   101,00
02.03.2026  ADEL    -5,51   32,24
02.03.2026  ADESE   -5,56   1,02 
02.03.2026  ADGYO   -1,58   53,10
02.03.2026  AEFES   -2,90   18,40
02.03.2026  AFYON   3,23    15,00
02.03.2026  AGESA   -2,57   219,90
02.03.2026  AGHOL   -3,49   32,60
02.03.2026  AGROT   -6,42   2,77 
02.03.2026  AGYO    -2,77   7,02 
02.03.2026  AHGAZ   -2,73   24,20
02.03.2026  AHSGY   9,97    20,30
02.03.2026  AKBNK   -8,21   82,75
02.03.2026  AKCNS   -0,71   208,80
02.03.2026  AKENR   -3,99   10,11
02.03.2026  AKFGY   -2,08   2,83 
02.03.2026  AKFIS   -6,12   26,40
02.03.2026  AKFYE   -2,91   17,33
02.03.2026  AKGRT   -0,13   7,51 
02.03.2026  AKMGY   -3,41   209,70
02.03.2026  AKSA    -3,34   9,84 
02.03.2026  AKSEN   -0,67   66,70
02.03.2026  AKSGY   -2,92   7,98 
02.03.2026  AKSUE   3,36    26,44
02.03.2026  AKYHO   -5,90   2,55 
02.03.2026  ALARK   -1,66   100,70
02.03.2026  ALBRK   -6,78   8,53 
02.03.2026  ALCAR   -6,57   775,50
02.03.2026  ALCTL   -8,06   126,70
02.03.2026  ALFAS   -5,25   38,28
02.03.2026  ALGYO   -3,71   4,93 
02.03.2026  ALKA    -6,52   10,33
02.03.2026  ALKIM   -3,03   16,99
02.03.2026  ALKLC   -9,09   257,50
02.03.2026  ALTNY   8,30    18,14
02.03.2026  ALVES   -9,75   3,24 
02.03.2026  ANELE   -4,46   14,14
02.03.2026  ANGEN   -6,34   10,19
02.03.2026  ANHYT   -0,18   112,00
02.03.2026  ANSGR   -2,85   25,24
02.03.2026  ARASE   -0,47   84,15
02.03.2026  ARCLK   -3,73   110,90
02.03.2026  ARDYZ   -2,50   39,00
02.03.2026  ARENA   -7,49   24,44
02.03.2026  ARFYE   0,00    nan  
02.03.2026  ARMGD   -6,79   76,20
02.03.2026  ARSAN   -4,34   3,75 
02.03.2026  ARTMS   -3,18   39,60
02.03.2026  ARZUM   -7,60   2,43 
02.03.2026  ASELS   5,59    340,00
02.03.2026  ASGYO   0,54    11,13
02.03.2026  ASTOR   -3,88   180,70
02.03.2026  ASUZU   -4,22   67,00
02.03.2026  ATAGY   -5,88   13,28
02.03.2026  ATAKP   -9,03   52,90
02.03.2026  ATATP   -1,56   144,70
02.03.2026  ATEKS   0,00    nan  
02.03.2026  ATLAS   -3,83   7,79 
02.03.2026  ATSYH   -7,89   53,70
02.03.2026  AVGYO   -1,01   12,71
02.03.2026  AVHOL   -4,28   35,80
02.03.2026  AVOD    -1,68   4,09 
02.03.2026  AVPGY   -3,64   50,30
02.03.2026  AVTUR   9,99    18,82
02.03.2026  AYCES   -3,05   508,00
02.03.2026  AYDEM   -1,66   24,90
02.03.2026  AYEN    -2,88   27,00
02.03.2026  AYES    -0,16   24,94
02.03.2026  AYGAZ   1,71    250,00
02.03.2026  AZTEK   -6,21   4,08 
02.03.2026  BAGFS   5,67    36,14
02.03.2026  BAHKM   0,00    113,00
02.03.2026  BAKAB   -7,73   36,04
02.03.2026  BALAT   -2,91   95,15
02.03.2026  BALSU   -4,50   14,64
02.03.2026  BANVT   -3,22   162,30
