SEMBOL  3.DİRENÇ  2.DİRENÇ  1.DİRENÇ  PİVOT     1.DESTEK  2.DESTEK  3.DESTEK  SON       
ASUZU   63,10     62,45     61,25     60,60     59,40     58,75     57,55     61,20     
ATAGY   12,46     12,38     12,26     12,18     12,06     11,98     11,86     12,39     
ATAKP   56,88     56,31     55,18     54,61     53,48     52,91     51,78     55,95     
ATATP   241,06    235,63    225,86    220,43    210,66    205,23    195,46    212,90    
ATATR   18,30     17,95     17,30     16,95     16,30     15,95     15,30     16,83     
ATEKS   130,70    130,50    130,40    130,20    130,10    129,90    129,80    143,30    
ATLAS   7,82      7,74      7,59      7,51      7,36      7,28      7,13      7,49      
ATSYH   96,91     95,93     93,96     92,98     91,01     90,03     88,06     92,00     
AVGYO   17,17     16,58     16,08     15,49     14,99     14,40     13,90     15,99     
AVHOL   47,74     46,36     44,88     43,50     42,02     40,64     39,16     43,30     
AVOD    4,94      4,83      4,64      4,53      4,34      4,23      4,04      4,44      
AVPGY   59,01     58,38     57,21     56,58     55,41     54,78     53,61     55,10     
AVTUR   17,85     17,65     17,30     17,10     16,75     16,55     16,20     17,61     
AYCES   629,33    618,66    597,33    586,66    565,33    554,66    533,33    576,50    
AYDEM   25,83     25,62     25,21     25,00     24,59     24,38     23,97     25,06     
AYEN    50,65     47,94     46,59     43,88     42,53     39,82     38,47     40,72     
AYES    33,97     33,84     33,63     33,50     33,29     33,16     32,95     34,10     
AYGAZ   230,86    228,13    225,16    222,43    219,46    216,73    213,76    222,90    
AZTEK   5,56      5,46      5,27      5,17      4,98      4,88      4,69      5,22      
BAGFS   27,58     27,31     26,86     26,59     26,14     25,87     25,42     26,78     
BAHKM   138,66    135,83    131,26    128,43    123,86    121,03    116,46    122,00    
BAKAB   51,59     50,92     49,76     49,09     47,93     47,26     46,10     50,10     
BALAT   69,15     68,60     67,50     66,95     65,85     65,30     64,20     67,95     
BALSU   14,76     14,58     14,25     14,07     13,74     13,56     13,23     14,04     
BANVT   178,93    171,66    168,03    160,76    157,13    149,86    146,23    170,00    
BARMA   79,08     78,06     76,03     75,01     72,98     71,96     69,93     76,00     
BASCM   15,51     15,38     15,12     14,99     14,73     14,60     14,34     15,10     
BASGZ   54,55     52,90     51,52     49,87     48,49     46,84     45,47     50,65     
BAYRK   5,25      5,21      5,15      5,11      5,05      5,01      4,95      5,12      
BEGYO   4,31      4,26      4,19      4,14      4,07      4,02      3,95      4,13      
BERA    18,93     18,71     18,29     18,07     17,65     17,43     17,01     18,22     
BESLR   14,68     14,53     14,41     14,26     14,14     13,99     13,87     14,46     
BESTE   41,90     41,18     40,04     39,32     38,18     37,46     36,32     37,76     
BEYAZ   28,12     27,88     27,46     27,22     26,80     26,56     26,14     27,42     
BFREN   142,50    141,70    140,60    139,80    138,70    137,90    136,80    140,20    
BIENY   24,52     24,24     23,80     23,52     23,08     22,80     22,36     23,38     
BIGCH   6,90      6,82      6,71      6,63      6,52      6,44      6,33      7,00      
BIGEN   72,46     70,33     69,26     67,13     66,06     63,93     62,86     74,50     
BIGTK   263,00    248,80    241,70    227,50    220,40    206,20    199,10    233,00    
BIMAS   410,41    403,83    393,16    386,58    375,91    369,33    358,66    391,75    
BINBN   190,16    186,23    180,86    176,93    171,56    167,63    162,26    176,40    
BINHO   9,68      9,55      9,32      9,19      8,96      8,83      8,60      9,15      
BIOEN   18,89     18,69     18,34     18,14     17,79     17,59     17,24     18,26     
BIZIM   28,00     27,79     27,44     27,23     26,88     26,67     26,32     27,10     
BJKAS   1,80      1,75      1,72      1,67      1,64      1,59      1,56      1,70      
BLCYT   29,40     28,18     27,00     25,78     24,60     23,38     22,20     25,40     
BLUME   36,04     34,97     33,94     32,87     31,84     30,77     29,74     34,00     
BMSCH   19,95     19,18     18,04     17,27     16,13     15,36     14,22     16,98     
BMSTL   10,45     98,51     95,48     89,41     86,38     80,31     77,28     96,00     
BNTAS   6,89      6,83      6,75      6,69      6,61      6,55      6,47      6,78      
BOBET   19,12     19,00     18,79     18,67     18,46     18,34     18,13     18,78     
BORLS   6,07      5,95      5,74      5,62      5,41      5,29      5,08      5,87      
BORSK   6,54      6,42      6,23      6,11      5,92      5,80      5,61      6,15      
BOSSA   6,73      6,66      6,54      6,47      6,35      6,28      6,16      6,60      
BRISA   94,40     93,20     91,60     90,40     88,80     87,60     86,00     88,35     
BRKO    17,41     17,00     16,19     15,78     14,97     14,56     13,75     15,40     
BRKSN   8,32      8,26      8,15      8,09      7,98      7,92      7,81      8,15      
BRKVY   96,86     96,03     94,51     93,68     92,16     91,33     89,81     93,35     
BRLSM   20,92     20,64     20,16     19,88     19,40     19,12     18,64     19,02     
BRMEN   13,79     13,65     13,58     13,44     13,37     13,23     13,16     14,86     
BRSAN   643,83    634,66    624,33    615,16    604,83    595,66    585,33    621,50    
BRYAT   2011,66   2004,33   1989,66   1982,33   1967,66   1960,33   1945,66   2002,00   
BSOKE   35,80     35,40     34,94     34,54     34,08     33,68     33,22     34,82     
BTCIM   6,23      6,15      6,04      5,96      5,85      5,77      5,66      5,97      
BUCIM   6,14      6,10      6,03      5,99      5,92      5,88      5,81      6,03      
BULGS   45,16     44,63     43,76     43,23     42,36     41,83     40,96     43,82     
BURCE   47,74     46,93     45,66     44,85     43,58     42,77     41,50     43,36     
BURVA   1182,00   1149,00   1111,00   1078,00   1040,00   1007,00   9690,00   1018,00   
BVSAN   141,03    138,06    132,43    129,46    123,83    120,86    115,23    124,50    
BYDNR   42,00     41,50     40,50     40,00     39,00     38,50     37,50     39,20     
CANTE   1,57      1,55      1,51      1,49      1,45      1,43      1,39      1,50      
CASA    81,91     81,73     81,36     81,18     80,81     80,63     80,26     79,90     
CATES   41,64     40,99     40,50     39,85     39,36     38,71     38,22     40,68     
CCOLA   83,05     82,00     81,10     80,05     79,15     78,10     77,20     80,15     
CELHA   17,03     16,11     15,65     14,73     14,27     13,35     12,89     16,70     
CEMAS   5,17      5,12      5,02      4,97      4,87      4,82      4,72      5,01      
CEMTS   10,62     10,54     10,41     10,33     10,20     10,12     99,93     10,44     
CEMZY   19,57     18,34     17,66     16,43     15,75     14,52     13,84     16,20     
CEOEM   27,16     26,88     26,48     26,20     25,80     25,52     25,12     26,36     
CGCAM   47,16     46,48     45,44     44,76     43,72     43,04     42,00     46,50     
CIMSA   52,84     52,22     51,06     50,44     49,28     48,66     47,50     50,70     
CLEBI   1736,66   1717,33   1683,66   1664,33   1630,66   1611,33   1577,66   1671,00   
CMBTN   1561,66   1551,33   1530,66   1520,33   1499,66   1489,33   1468,66   1533,00   
CMENT   298,33    292,66    288,83    283,16    279,33    273,66    269,83    290,25    
CONSE   2,88      2,86      2,81      2,79      2,74      2,72      2,67      2,83      
COSMO   198,23    186,36    179,23    167,36    160,23    148,36    141,23    158,10    
CRDFA   42,34     41,93     41,32     40,91     40,30     39,89     39,28     40,98     
CRFSA   169,16    164,53    158,76    154,13    148,36    143,73    137,96    159,00    
CUSAN   24,86     24,66     24,40     24,20     23,94     23,74     23,48     24,70     
CVKMD   48,67     47,70     45,77     44,80     42,87     41,90     39,97     43,94     
CWENE   43,24     42,12     41,12     40,00     39,00     37,88     36,88     41,30     
DAGI    8,11      7,99      7,81      7,69      7,51      7,39      7,21      7,99      
DAPGM   11,52     11,26     11,00     10,74     10,48     10,22     99,66     10,74     
DARDL   2,17      2,15      2,12      2,10      2,07      2,05      2,02      2,10      
DCTTR   12,78     12,50     12,11     11,83     11,44     11,16     10,77     11,70     
DENGE   2,84      2,77      2,68      2,61      2,52      2,45      2,36      2,48      
DERHL   14,36     14,15     13,89     13,68     13,42     13,21     12,95     13,65     
DERIM   45,64     44,31     42,80     41,47     39,96     38,63     37,12     41,80     
DESA    12,45     12,34     12,20     12,09     11,95     11,84     11,70     12,30     
DESPC   50,47     48,88     46,45     44,86     42,43     40,84     38,41     43,98     
DEVA    71,13     70,41     69,53     68,81     67,93     67,21     66,33     69,60     
DGATE   132,70    127,60    124,30    119,20    115,90    110,80    107,50    115,40    
