SEMBOL  3.DİRENÇ  2.DİRENÇ  1.DİRENÇ  PİVOT     1.DESTEK  2.DESTEK  3.DESTEK  SON       
KLKIM   32,22     31,98     31,62     31,38     31,02     30,78     30,42     31,64     
KLMSN   34,04     33,64     32,92     32,52     31,80     31,40     30,68     32,16     
KLNMA   9,37      9,32      9,23      9,18      9,09      9,04      8,95      9,10      
KLRHO   95,96     94,83     92,61     91,48     89,26     88,13     85,91     94,85     
KLSER   30,14     29,81     29,20     28,87     28,26     27,93     27,32     28,90     
KLSYN   16,43     15,98     15,49     15,04     14,55     14,10     13,61     13,82     
KLYPV   62,30     61,60     60,25     59,55     58,20     57,50     56,15     64,75     
KMPUR   22,30     21,87     21,48     21,05     20,66     20,23     19,84     21,00     
KNFRT   17,06     16,63     15,78     15,35     14,50     14,07     13,22     14,66     
KOCMT   2,95      2,84      2,75      2,64      2,55      2,44      2,35      2,86      
KONKA   16,90     16,40     15,73     15,23     14,56     14,06     13,39     15,08     
KONTR   7,64      7,23      7,03      6,62      6,42      6,01      5,81      6,15      
KONYA   3801,66   3783,33   3754,16   3735,83   3706,66   3688,33   3659,16   3852,50   
KOPOL   7,27      7,08      6,83      6,64      6,39      6,20      5,95      6,53      
KORDS   80,68     79,66     78,23     77,21     75,78     74,76     73,33     73,65     
KOTON   15,13     14,99     14,76     14,62     14,39     14,25     14,02     14,83     
KRDMA   42,38     41,96     41,38     40,96     40,38     39,96     39,38     41,18     
KRDMB   114,26    112,83    109,96    108,53    105,66    104,23    101,36    113,00    
KRDMD   42,98     42,15     40,78     39,95     38,58     37,75     36,38     40,42     
KRGYO   2,77      2,75      2,72      2,70      2,67      2,65      2,62      2,70      
KRONT   24,84     23,74     22,72     21,62     20,60     19,50     18,48     21,26     
KRPLS   9,55      9,46      9,27      9,18      8,99      8,90      8,71      9,37      
KRSTL   11,42     11,25     11,01     10,84     10,60     10,43     10,19     10,94     
KRTEK   25,48     25,07     24,44     24,03     23,40     22,99     22,36     24,42     
KRVGD   3,03      3,01      2,96      2,94      2,90      2,87      2,83      2,96      
KSTUR   3058,33   3004,16   2975,83   2921,66   2893,33   2839,16   2810,83   2960,00   
KTLEV   190,36    184,23    180,66    174,53    170,96    164,83    161,26    186,00    
KTSKR   11,24     10,87     10,42     10,04     95,96     92,23     87,71     98,00     
KUTPO   93,85     93,00     91,50     90,65     89,15     88,30     86,80     91,90     
KUVVA   163,60    158,20    154,80    149,40    146,00    140,60    137,20    147,00    
KUYAS   73,70     72,10     70,40     68,80     67,10     65,50     63,80     71,25     
KZBGY   3,50      3,44      3,31      3,25      3,12      3,06      2,93      3,23      
KZGYO   24,12     23,84     23,40     23,12     22,68     22,40     21,96     23,22     
LIDER   118,13    115,96    111,63    109,46    105,13    102,96    986,33    103,70    
LIDFA   3,32      3,25      3,13      3,06      2,94      2,87      2,75      3,30      
LILAK   38,95     38,32     37,43     36,80     35,91     35,28     34,39     35,80     
LINK    7,46      7,38      7,21      7,13      6,96      6,88      6,71      6,95      
LKMNH   15,71     15,63     15,46     15,38     15,21     15,13     14,96     15,50     
LMKDC   30,15     29,84     29,37     29,06     28,59     28,28     27,81     29,06     
LOGO    154,40    150,30    145,70    141,60    137,00    132,90    128,30    143,20    
LRSHO   3,74      3,69      3,58      3,53      3,42      3,37      3,26      3,51      
LUKSK   128,06    122,73    116,56    111,23    105,06    997,33    935,66    113,00    
LXGYO   17,79     17,59     17,32     17,12     16,85     16,65     16,38     17,19     
LYDHO   187,10    184,80    180,40    178,10    173,70    171,40    167,00    180,60    
LYDYE   14427,50  14287,50  14032,50  13892,50  13637,50  13497,50  13242,50  13852,50  
MAALT   1186,33   1176,66   1164,33   1154,66   1142,33   1132,66   1120,33   1168,00   
MACKO   40,70     40,27     39,58     39,15     38,46     38,03     37,34     39,02     
MAGEN   36,22     35,47     34,80     34,05     33,38     32,63     31,96     36,24     
MAKIM   20,49     19,79     19,39     18,69     18,29     17,59     17,19     18,56     
MAKTK   13,64     13,42     13,09     12,87     12,54     12,32     11,99     12,87     
MANAS   30,80     30,45     29,74     29,39     28,68     28,33     27,62     28,80     
MARBL   14,51     14,18     13,88     13,55     13,25     12,92     12,62     14,23     
MARKA   89,03     84,46     81,23     76,66     73,43     68,86     65,63     82,10     
MARMR   2,48      2,46      2,42      2,40      2,36      2,34      2,30      2,38      
MARTI   1,95      1,92      1,87      1,84      1,79      1,76      1,71      1,80      
MAVI    43,98     43,55     42,84     42,41     41,70     41,27     40,56     42,00     
MCARD   195,03    190,26    183,63    178,86    172,23    167,46    160,83    177,20    
MEDTR   30,86     30,53     30,36     30,03     29,86     29,53     29,36     30,06     
MEGAP   2,39      2,38      2,37      2,36      2,35      2,34      2,33      2,33      
MEGMT   89,73     88,26     85,68     84,21     81,63     80,16     77,58     83,75     
MEKAG   3,87      3,83      3,78      3,74      3,69      3,65      3,60      3,78      
MEPET   28,31     27,58     26,13     25,40     23,95     23,22     21,77     23,88     
MERCN   29,78     28,90     27,28     26,40     24,78     23,90     22,28     25,98     
MERIT   18,31     18,09     17,76     17,54     17,21     16,99     16,66     17,94     
MERKO   1,96      1,91      1,84      1,79      1,72      1,67      1,60      1,76      
METRO   8,76      8,66      8,52      8,42      8,28      8,18      8,04      8,74      
MEYSU   17,79     17,29     16,34     15,84     14,89     14,39     13,44     15,46     
MGROS   738,83    722,66    701,83    685,66    664,83    648,66    627,83    698,00    
MHRGY   4,19      4,14      4,05      4,00      3,91      3,86      3,77      4,36      
MIATK   51,84     50,77     49,10     48,03     46,36     45,29     43,62     46,68     
MMCAS   61,70     60,60     60,05     58,95     58,40     57,30     56,75     60,00     
MNDRS   11,82     11,72     11,61     11,51     11,40     11,30     11,19     11,67     
MNDTR   6,10      6,05      5,95      5,90      5,80      5,75      5,65      5,95      
MOBTL   15,38     15,11     14,58     14,31     13,78     13,51     12,98     14,03     
MOGAN   13,75     13,46     12,94     12,65     12,13     11,84     11,32     12,63     
MOPAS   39,51     38,44     37,31     36,24     35,11     34,04     32,91     35,88     
MPARK   454,00    447,75    437,00    430,75    420,00    413,75    403,00    442,50    
MRGYO   1,65      1,63      1,61      1,59      1,57      1,55      1,53      1,58      
MRSHL   1642,00   1624,00   1597,00   1579,00   1552,00   1534,00   1507,00   1625,00   
MSGYO   7,91      7,57      7,33      6,99      6,75      6,41      6,17      7,05      
MTRKS   32,24     31,45     30,08     29,29     27,92     27,13     25,76     30,20     
MTRYO   10,67     10,54     10,31     10,18     99,53     98,26     95,93     10,08     
MZHLD   6,21      6,14      6,06      5,99      5,91      5,84      5,76      5,98      
NATEN   6,94      6,90      6,84      6,80      6,74      6,70      6,64      6,82      
NETAS   77,18     75,26     72,18     70,26     67,18     65,26     62,18     69,85     
NETCD   172,13    168,66    163,53    160,06    154,93    151,46    146,33    163,50    
NIBAS   4,66      4,62      4,55      4,51      4,44      4,40      4,33      4,51      
NTGAZ   12,60     12,51     12,35     12,26     12,10     12,01     11,85     11,97     
NTHOL   44,69     44,14     43,49     42,94     42,29     41,74     41,09     44,68     
NUGYO   11,70     11,43     11,10     10,83     10,50     10,23     99,03     10,87     
NUHCM   232,93    230,96    229,13    227,16    225,33    223,36    221,53    226,10    
OBAMS   7,56      7,45      7,24      7,13      6,92      6,81      6,60      7,05      
OBASE   44,48     43,42     42,52     41,46     40,56     39,50     38,60     41,22     
ODAS    9,55      9,09      8,74      8,28      7,93      7,47      7,12      9,05      
ODINE   1876,66   1813,33   1781,66   1718,33   1686,66   1623,33   1591,66   1609,00   
OFSYM   63,96     62,83     61,26     60,13     58,56     57,43     55,86     62,10     
ONCSM   289,00    283,50    273,00    267,50    257,00    251,50    241,00    261,50    
ONRYT   69,93     68,61     66,63     65,31     63,33     62,01     60,03     63,75     
ORCAY   4,50      4,44      4,32      4,26      4,14      4,08      3,96      4,23      
ORGE    150,83    142,46    133,03    124,66    115,23    106,86    974,33    122,80    
ORMA    220,20    217,40    211,80    209,00    203,40    200,60    195,00    208,00    
OSMEN   7,68      7,60      7,50      7,42      7,32      7,24      7,14      7,52      
OSTIM   2,77      2,76      2,74      2,73      2,71      2,70      2,68      2,75      
OTKAR   365,41    362,58    356,91    354,08    348,41    345,58    339,91    353,00    
OTTO    212,30    210,40    206,60    204,70    200,90    199,00    195,20    203,60    
OYAKC   22,58     22,34     21,96     21,72     21,34     21,10     20,72     21,98     
OYAYO   62,83     59,66     58,03     54,86     53,23     50,06     48,43     53,50     
OYLUM   8,95      8,81      8,58      8,44      8,21      8,07      7,84      8,38      
OYYAT   55,50     52,42     50,88     47,80     46,26     43,18     41,64     45,58     
OZATD   2102,33   2012,66   1931,33   1841,66   1760,33   1670,66   1589,33   1665,00   
OZGYO   2,19      2,17      2,14      2,12      2,09      2,07      2,04      2,16      
OZKGY   15,65     15,50     15,41     15,26     15,17     15,02     14,93     15,05     
OZRDN   36,81     34,70     33,17     31,06     29,53     27,42     25,89     32,44     
OZSUB   30,56     30,27     29,88     29,59     29,20     28,91     28,52     30,00     
OZYSR   12,73     12,39     12,01     11,67     11,29     10,95     10,57     11,81     
PAGYO   152,50    149,30    143,90    140,70    135,30    132,10    126,70    139,50    
PAHOL   1,70      1,67      1,61      1,58      1,52      1,49      1,43      1,58      
PAMEL   92,16     90,28     87,41     85,53     82,66     80,78     77,91     83,85     
PAPIL   16,50     15,99     15,51     15,00     14,52     14,01     13,53     15,18     
PARSN   99,31     97,48     94,81     92,98     90,31     88,48     85,81     91,90     
PASEU   123,90    119,90    117,90    113,90    111,90    107,90    105,90    118,00    
PATEK   25,88     25,40     24,44     23,96     23,00     22,52     21,56     23,60     
PCILT   37,52     36,80     35,70     34,98     33,88     33,16     32,06     34,02     
PEKGY   13,95     13,73     13,48     13,26     13,01     12,79     12,54     13,15     
PENGD   13,10     12,84     12,41     12,15     11,72     11,46     11,03     12,16     
PENTA   15,65     15,45     15,09     14,89     14,53     14,33     13,97     14,92     
PETKM   21,48     21,03     20,55     20,10     19,62     19,17     18,69     20,42     
PETUN   12,78     12,64     12,41     12,27     12,04     11,90     11,67     12,29     
PGSUS   189,33    187,46    183,73    181,86    178,13    176,26    172,53    184,70    
PINSU   11,56     11,49     11,38     11,31     11,20     11,13     11,02     11,35     
PKART   181,10    167,00    156,50    142,40    131,90    117,80    107,30    142,00    
PKENT   152,40    151,60    150,30    149,50    148,20    147,40    146,10    151,10    
PLTUR   25,75     24,90     24,07     23,22     22,39     21,54     20,71     23,48     
PNLSN   46,90     46,57     45,90     45,57     44,90     44,57     43,90     45,82     
PNSUT   13,04     12,84     12,50     12,30     11,96     11,76     11,42     12,33     
POLHO   21,52     21,20     20,94     20,62     20,36     20,04     19,78     21,40     
POLTK   5393,33   5286,66   5183,33   5076,66   4973,33   4866,66   4763,33   5140,00   
PRDGS   8,14      7,97      7,66      7,49      7,18      7,01      6,70      7,40      
PRKAB   40,73     40,40     39,83     39,50     38,93     38,60     38,03     39,26     
PRKME   22,01     20,76     20,13     18,88     18,25     17,00     16,37     20,08     
PRZMA   57,43     54,96     50,93     48,46     44,43     41,96     37,93     45,90     
PSDTC   126,26    124,33    121,86    119,93    117,46    115,53    113,06    120,50    
PSGYO   4,46      4,21      4,02      3,77      3,58      3,33      3,14      3,83      
QNBFK   38,77     38,38     37,97     37,58     37,17     36,78     36,37     38,40     
nan                                                                           nan       
QNBTR   229,53    224,26    221,63    216,36    213,73    208,46    205,83    218,60    
QUAGR   4,43      4,36      4,23      4,16      4,03      3,96      3,83      4,01      
RALYH   226,10    220,30    212,10    206,30    198,10    192,30    184,10    212,80    
RAYSG   209,93    207,46    202,53    200,06    195,13    192,66    187,73    198,20    
REEDR   7,54      7,44      7,25      7,15      6,96      6,86      6,67      7,08      
RGYAS   204,60    202,40    201,20    199,00    197,80    195,60    194,40    198,40    
RNPOL   2,72      2,67      2,61      2,56      2,50      2,45      2,39      2,48      
RODRG   27,28     26,76     25,88     25,36     24,48     23,96     23,08     25,18     
RTALB   3,60      3,57      3,53      3,50      3,46      3,43      3,39      3,50      
RUBNS   25,29     24,88     24,19     23,78     23,09     22,68     21,99     25,84     
RUZYE   11,33     11,15     10,79     10,61     10,25     10,07     97,10     10,50     
RYGYO   34,42     33,74     32,84     32,16     31,26     30,58     29,68     32,50     
RYSAS   26,30     25,85     25,18     24,73     24,06     23,61     22,94     24,92     
SAFKR   25,39     25,02     24,49     24,12     23,59     23,22     22,69     24,50     
SAHOL   104,40    103,10    101,45    100,15    985,00    972,00    955,50    102,50    
SAMAT   6,76      6,65      6,51      6,40      6,26      6,15      6,01      6,38      
SANEL   64,10     60,10     58,10     54,10     52,10     48,10     46,10     61,70     
SANFM   9,65      9,44      9,15      8,94      8,65      8,44      8,15      8,89      
SANKO   22,86     22,63     22,16     21,93     21,46     21,23     20,76     21,90     
SARKY   30,84     30,31     29,44     28,91     28,04     27,51     26,64     28,42     
SASA    2,85      2,81      2,77      2,73      2,69      2,65      2,61      2,78      
SAYAS   55,78     54,86     53,53     52,61     51,28     50,36     49,03     52,85     
SDTTR   282,63    270,31    263,03    250,71    243,43    231,11    223,83    252,75    
SEGMN   60,90     59,20     56,10     54,40     51,30     49,60     46,50     54,70     
SEGYO   5,08      5,03      4,93      4,88      4,78      4,73      4,63      4,88      
SEKFK   10,62     10,50     10,36     10,24     10,10     99,86     98,43     10,24     
SEKUR   11,31     10,74     10,39     98,20     94,70     89,00     85,50     10,33     
SELEC   149,20    149,20    149,20    149,20    149,20    149,20    149,20    164,10    
SELVA   2,19      2,16      2,12      2,09      2,05      2,02      1,98      2,08      
SERNT   1,03      1,00      9,84      9,57      9,32      9,05      8,80      9,65      
SEYKM   5,02      4,93      4,83      4,74      4,64      4,55      4,45      4,71      
SILVR   2,81      2,75      2,68      2,62      2,55      2,49      2,42      2,64      
SISE    47,47     46,92     45,91     45,36     44,35     43,80     42,79     47,40     
SKBNK   15,37     15,01     14,75     14,39     14,13     13,77     13,51     15,40     
SKTAS   5,26      4,90      4,65      4,29      4,04      3,68      3,43      4,64      
SKYLP   313,91    308,33    301,16    295,58    288,41    282,83    275,66    294,00    
SKYMD   13,94     13,73     13,42     13,21     12,90     12,69     12,38     13,38     
SMART   35,68     35,16     34,34     33,82     33,00     32,48     31,66     33,52     
SMRTG   13,59     13,26     12,78     12,45     11,97     11,64     11,16     12,41     
SMRVA   15,24     15,04     14,64     14,44     14,04     13,84     13,44     14,41     
SNGYO   4,03      3,96      3,90      3,83      3,77      3,70      3,64      3,84      
SNICA   4,86      4,62      4,47      4,23      4,08      3,84      3,69      4,26      
SNPAM   23,50     23,01     22,70     22,21     21,90     21,41     21,10     21,96     
SODSN   9,25      9,11      9,03      8,89      8,81      8,67      8,59      8,93      
SOKE    19,05     18,35     17,30     16,60     15,55     14,85     13,80     16,65     
SOKM    52,82     51,81     50,26     49,25     47,70     46,69     45,14     49,40     
SONME   154,96    149,43    142,66    137,13    130,36    124,83    118,06    132,50    
SRVGY   3,09      3,06      3,03      3,00      2,97      2,94      2,91      3,00      
SUMAS   401,00    397,00    389,00    385,00    377,00    373,00    365,00    419,00    
SUNTK   33,55     32,76     31,29     30,50     29,03     28,24     26,77     30,30     
SURGY   76,13     75,11     73,08     72,06     70,03     69,01     66,98     73,75     
SUWEN   7,78      7,64      7,49      7,35      7,20      7,06      6,91      7,28      
SVGYO   22,04     21,56     21,28     20,80     20,52     20,04     19,76     21,00     
TABGD   272,81    267,53    257,96    252,68    243,11    237,83    228,26    252,25    
TARKM   601,00    592,00    575,00    566,00    549,00    540,00    523,00    552,00    
TATEN   15,62     15,29     14,84     14,51     14,06     13,73     13,28     14,60     
TATGD   20,38     19,99     19,53     19,14     18,68     18,29     17,83     19,12     
TAVHL   313,50    308,25    304,25    299,00    295,00    289,75    285,75    304,50    
TBORG   140,86    139,33    137,26    135,73    133,66    132,13    130,06    136,40    
TCELL   120,16    118,23    115,16    113,23    110,16    108,23    105,16    116,00    
TCKRC   147,80    146,30    144,40    142,90    141,00    139,50    137,60    138,30    
TDGYO   16,70     16,50     16,10     15,90     15,50     15,30     14,90     15,50     
TEHOL   33,68     33,49     33,30     33,11     32,92     32,73     32,54     34,94     
TEKTU   10,40     10,29     10,12     10,01     98,46     97,33     95,66     10,20     
TERA    174,00    171,50    166,50    164,00    159,00    156,50    151,50    162,80    
TEZOL   18,04     17,84     17,44     17,24     16,84     16,64     16,24     17,83     
TGSAS   204,50    198,30    189,40    183,20    174,30    168,10    159,20    181,00    
THYAO   333,58    330,91    326,33    323,66    319,08    316,41    311,83    328,50    
TKFEN   142,73    141,36    138,83    137,46    134,93    133,56    131,03    138,90    
TKNSA   20,59     20,44     20,17     20,02     19,75     19,60     19,33     20,18     
TLMAN   106,26    105,13    102,86    101,73    994,66    983,33    960,66    102,20    
TMPOL   501,08    479,66    466,33    444,91    431,58    410,16    396,83    473,50    
TMSN    93,53     92,61     91,18     90,26     88,83     87,91     86,48     94,00     
TNZTP   26,01     25,72     25,29     25,00     24,57     24,28     23,85     25,30     
TOASO   345,33    339,91    334,58    329,16    323,83    318,41    313,08    332,00    
TRALT   50,24     49,42     48,64     47,82     47,04     46,22     45,44     51,80     
TRCAS   43,02     42,63     42,02     41,63     41,02     40,63     40,02     42,54     
TRENJ   93,28     91,86     91,03     89,61     88,78     87,36     86,53     93,30     
TRGYO   10,11     10,03     99,30     98,50     97,50     96,70     95,70     98,85     
TRHOL   1829,66   1770,33   1734,66   1675,33   1639,66   1580,33   1544,66   1662,00   
TRILC   1,28      1,26      1,23      1,21      1,18      1,16      1,13      1,13      
TRMET   122,33    119,66    118,33    115,66    114,33    111,66    110,33    121,50    
TSGYO   7,56      7,44      7,20      7,08      6,84      6,72      6,48      7,06      
TSKB    12,54     12,40     12,23     12,09     11,92     11,78     11,61     12,52     
TSPOR   0,98      0,96      0,94      0,92      0,90      0,88      0,86      0,93      
TTKOM   67,61     66,38     64,41     63,18     61,21     59,98     58,01     64,00     
TTRAK   460,75    456,00    447,25    442,50    433,75    429,00    420,25    441,00    
TUCLK   4,51      4,44      4,32      4,25      4,13      4,06      3,94      4,24      
TUKAS   2,46      2,43      2,40      2,37      2,34      2,31      2,28      2,40      
TUPRS   231,63    230,16    228,43    226,96    225,23    223,76    222,03    224,10    
TUREX   8,35      8,29      8,18      8,12      8,01      7,95      7,84      8,10      
TURGG   35,75     33,72     32,71     30,68     29,67     27,64     26,63     29,24     
TURSG   6,77      6,69      6,53      6,45      6,29      6,21      6,05      6,56      
UCAYM   39,00     38,16     36,78     35,94     34,56     33,72     32,34     35,28     
UFUK    1800,66   1744,33   1663,66   1607,33   1526,66   1470,33   1389,66   1601,00   
ULAS    27,98     27,58     27,14     26,74     26,30     25,90     25,46     26,50     
ULKER   117,96    117,03    115,86    114,93    113,76    112,83    111,66    117,00    
ULUFA   2,05      2,02      1,95      1,92      1,85      1,82      1,75      1,96      
ULUSE   371,83    365,16    353,33    346,66    334,83    328,16    316,33    324,50    
ULUUN   9,04      8,87      8,74      8,57      8,44      8,27      8,14      8,81      
UMPAS   103,33    100,06    965,33    932,67    897,33    864,67    829,33    nan       
UNLU    13,26     13,10     12,87     12,71     12,48     12,32     12,09     12,77     
USAK    1,54      1,53      1,51      1,50      1,48      1,47      1,45      1,51      
VAKBN   36,64     35,89     35,00     34,25     33,36     32,61     31,72     35,16     
VAKFA   13,20     13,02     12,76     12,58     12,32     12,14     11,88     12,47     
VAKFN   1,77      1,75      1,72      1,70      1,67      1,65      1,62      1,73      
VAKKO   81,38     80,71     79,38     78,71     77,38     76,71     75,38     81,25     
VANGD   117,33    113,16    108,33    104,16    993,33    951,66    903,33    104,00    
VBTYZ   33,88     33,09     31,50     30,71     29,12     28,33     26,74     30,22     
VERTU   52,51     50,78     47,79     46,06     43,07     41,34     38,35     43,80     
VERUS   752,16    738,33    719,16    705,33    686,16    672,33    653,16    695,50    
VESBE   6,54      6,48      6,44      6,38      6,34      6,28      6,24      6,46      
VESTL   25,77     25,44     25,15     24,82     24,53     24,20     23,91     25,50     
VKFYO   29,67     29,32     28,67     28,32     27,67     27,32     26,67     27,96     
VKGYO   2,89      2,86      2,82      2,79      2,75      2,72      2,68      2,82      
VKING   26,62     26,31     25,76     25,45     24,90     24,59     24,04     25,68     
VRGYO   2,17      2,16      2,13      2,12      2,09      2,08      2,05      2,14      
VSNMD   86,06     85,48     84,61     84,03     83,16     82,58     81,71     92,10     
YAPRK   13,24     13,13     12,92     12,81     12,60     12,49     12,28     12,80     
YATAS   43,07     42,50     41,47     40,90     39,87     39,30     38,27     44,00     
YAYLA   27,52     26,19     25,52     24,19     23,52     22,19     21,52     27,34     
YBTAS   16,69     16,43     16,13     15,87     15,57     15,31     15,01     15,97     
YEOTK   121,66    118,83    113,16    110,33    104,66    101,83    961,66    107,90    
YESIL   1,46      1,45      1,44      1,43      1,42      1,41      1,40      1,42      
YGGYO   242,96    239,73    236,56    233,33    230,16    226,93    223,76    246,00    
YIGIT   25,59     25,20     24,75     24,36     23,91     23,52     23,07     25,14     
YKBNK   42,19     41,68     41,29     40,78     40,39     39,88     39,49     42,70     
YKSLN   3,44      3,40      3,34      3,30      3,24      3,20      3,14      3,30      
YONGA   59,00     58,00     57,50     56,50     56,00     55,00     54,50     57,00     
YUNSA   10,68     10,60     10,45     10,37     10,22     10,14     99,90     10,25     
YYAPI   0,98      0,97      0,97      0,96      0,96      0,95      0,95      0,96      
YYLGD   11,76     11,67     11,50     11,41     11,24     11,15     10,98     11,46     
ZEDUR   1,06      1,05      1,02      1,00      9,83      9,66      9,41      9,81      
ZERGY   15,48     15,13     14,50     14,15     13,52     13,17     12,54     13,59     
ZGYO    44,29     42,32     40,91     38,94     37,53     35,56     34,15     39,84     
ZOREN   3,00      2,97      2,92      2,89      2,84      2,81      2,76      2,96      
ZRGYO   18,38     18,14     17,81     17,57     17,24     17,00     16,67     17,56     
