# Son Güncelleme: 09.04.2026 22:15:06
TARIH       SEMBOL   GUN.F%        
01.04.2026  ALVES    -3.39         
01.04.2026  BEGYO    8.28          
01.04.2026  BIENY    -0.50         
01.04.2026  BORSK    2.40          
01.04.2026  ECZYT    1.19          
01.04.2026  KLYPV    -1.12         
01.04.2026  TUREX    4.09          
01.04.2026  Top.K/Z  1.56          
