# Son Güncelleme: 26.05.2026 20:27:55
TARIH       SEMBOL   GUN.F%        
07.05.2026  IZMDC    9.91          
07.05.2026  KLRHO    9.97          
07.05.2026  NIBAS    -3.03         
07.05.2026  PRZMA    -3.03         
07.05.2026  PSGYO    -4.78         
07.05.2026  SASA     5.71          
07.05.2026  TATGD    -3.08         
07.05.2026  VBTYZ    -1.53         
07.05.2026  Top.K/Z  1.27          
