# Son Güncelleme: 24.04.2026 22:06:01
TARIH       SEMBOL   GUN.F%        
17.04.2026  BURCE    9.93          
17.04.2026  EGEEN    -0.04         
17.04.2026  EKSUN    -0.66         
17.04.2026  HATEK    -3.32         
17.04.2026  KGYO     4.13          
17.04.2026  KONYA    -1.26         
17.04.2026  MEGAP    9.93          
17.04.2026  SODSN    -2.69         
17.04.2026  Top.K/Z  2.00          
