# Son Güncelleme: 03.08.2026 20:31:44
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
03.08.2026  EFOR           SAT         18,67       0.0223      0.4580      20.5066     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
03.08.2026  ENTRA          SAT         4,90        0.5467      0.6627      1.2123      SAT sinyali riskli – para girişi var                                  
03.08.2026  GRSEL          SAT         348,75      -0.9749     -0.8641     0.8864      Zayıf uyum, düşüş sınırlı                                             
03.08.2026  LKMNH          SAT         13,89       0.3897      0.1997      0.5124      SAT sinyali riskli – para girişi var                                  
03.08.2026  NUGYO          SAT         9,18        -1.8000     -0.7686     0.4270      Para çıkışı var ama hacim sınırlı                                     
03.08.2026  LYDHO          SAT         182,20      -1.3400     -0.5208     0.3887      Para çıkışı var ama hacim sınırlı                                     
03.08.2026  BSOKE          SAT         34,10       -3.3738     -0.6057     0.1795      Para çıkışı var ama hacim sınırlı                                     
03.08.2026  KAREL          SAT         9,35        1.0250      0.1022      0.0997      SAT sinyali riskli – para girişi var                                  
03.08.2026  BASCM          SAT         13,11       -1.0244     -0.0989     0.0966      Para çıkışı var ama hacim sınırlı                                     
03.08.2026  KRGYO          SAT         2,49        -1.3322     -0.0850     0.0638      Para çıkışı var ama hacim sınırlı                                     
03.08.2026  KUYAS          SAT         65,10       -11.1090    0.0914      -0.0082     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
03.08.2026  TGSAS          SAT         181,00      0.3413      -0.0067     -0.0196     SAT sinyali riskli – para girişi var                                  
03.08.2026  TTRAK          SAT         405,50      -2.0435     0.2175      -0.1064     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
03.08.2026  MSGYO          SAT         6,26        -3.3561     0.3757      -0.1119     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
03.08.2026  KGYO           SAT         10,15       -2.5327     0.3300      -0.1303     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
03.08.2026  GOKNR          SAT         23,06       -2.4218     0.3563      -0.1471     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
03.08.2026  INTEK          SAT         316,50      0.9534      -0.6047     -0.6343     SAT sinyali riskli – para girişi var                                  
03.08.2026  MPARK          SAT         402,25      0.9062      -0.6276     -0.6926     SAT sinyali riskli – para girişi var                                  
03.08.2026  AFYON          SAT         12,53       0.3832      -0.2894     -0.7552     SAT sinyali riskli – para girişi var                                  
03.08.2026  AKFGY          SAT         2,72        0.1558      -0.1228     -0.7881     SAT sinyali riskli – para girişi var                                  
03.08.2026  YEOTK          SAT         37,84       0.8281      -0.7228     -0.8728     SAT sinyali riskli – para girişi var                                  
03.08.2026  KRONT          SAT         22,54       0.8058      -0.7646     -0.9488     SAT sinyali riskli – para girişi var                                  
03.08.2026  DESA           SAT         9,19        0.3501      -0.4598     -1.3132     SAT sinyali riskli – para girişi var                                  
03.08.2026  ALCTL          SAT         170,90      -0.0346     0.6590      -19.0412    PGC çok küçük, oran şişmiş – dikkatli yorumla                         
03.08.2026  AKHAN          SAT         43,46       -0.0888     4.1931      -47.2391    PGC çok küçük, oran şişmiş – dikkatli yorumla                         
