TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
24.03.2026  AKENR          SAT         9,65        0.2559      0.2325      0.9086      SAT sinyali riskli – para girişi var                                  
24.03.2026  AGESA          SAT         220,50      0.1270      0.1027      0.8085      SAT sinyali riskli – para girişi var                                  
24.03.2026  KLSER          SAT         25,90       0.4016      0.2683      0.6679      SAT sinyali riskli – para girişi var                                  
24.03.2026  KMPUR          SAT         16,23       -1.0623     -0.6956     0.6548      Para çıkışı var, hacim düşüşüyle destekleniyor                        
24.03.2026  KTSKR          SAT         75,60       -1.1770     -0.7523     0.6391      Para çıkışı var, hacim düşüşüyle destekleniyor                        
24.03.2026  SERNT          SAT         7,68        -1.2694     -0.7859     0.6192      Para çıkışı var, hacim düşüşüyle destekleniyor                        
24.03.2026  ULKER          SAT         110,80      0.5380      0.3300      0.6134      SAT sinyali riskli – para girişi var                                  
24.03.2026  ARSAN          SAT         4,00        -0.8911     -0.5199     0.5834      Para çıkışı var, hacim düşüşüyle destekleniyor                        
24.03.2026  AKSA           SAT         10,97       -0.5997     -0.3499     0.5834      Para çıkışı var, hacim düşüşüyle destekleniyor                        
24.03.2026  KORDS          SAT         57,35       -1.1149     -0.5426     0.4867      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  CUSAN          SAT         23,60       -2.1425     -0.7806     0.3643      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  MIATK          SAT         38,54       -1.0840     -0.3611     0.3331      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  ANSGR          SAT         27,94       -1.0550     -0.3473     0.3292      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  BANVT          SAT         153,00      -0.7976     -0.2311     0.2897      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  SELEC          SAT         81,25       -1.2977     -0.3407     0.2625      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  ENTRA          SAT         10,22       -1.4308     -0.3687     0.2577      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  KCHOL          SAT         189,50      -1.3273     -0.3299     0.2485      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  SASA           SAT         2,38        -1.8508     -0.4399     0.2377      Para çıkışı var ama hacim sınırlı                                     
24.03.2026  AKSUE          SAT         28,26       0.8219      0.1919      0.2334      SAT sinyali riskli – para girişi var                                  
24.03.2026  QNBFK          SAT         52,55       1.4091      0.3127      0.2219      SAT sinyali riskli – para girişi var                                  
24.03.2026  NATEN          SAT         7,06        0.4363      0.0788      0.1806      SAT sinyali riskli – para girişi var                                  
