# Son Güncelleme: 13.08.2026 19:17:34
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
13.08.2026  QNBFK          SAT         45,54       0.8182      1.1020      1.3469      SAT sinyali riskli – para girişi var                                  
13.08.2026  MOGAN          SAT         19,98       -0.9979     -0.8870     0.8888      Zayıf uyum, düşüş sınırlı                                             
13.08.2026  GEDIK          SAT         6,42        0.5707      0.4713      0.8257      SAT sinyali riskli – para girişi var                                  
13.08.2026  HKTM           SAT         11,07       1.0551      0.8459      0.8017      SAT sinyali riskli – para girişi var                                  
13.08.2026  AVHOL          SAT         38,40       -0.5937     -0.4222     0.7110      Para çıkışı var, hacim düşüşüyle destekleniyor                        
13.08.2026  YAPRK          SAT         11,40       -1.1244     -0.5445     0.4842      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  ENJSA          SAT         107,40      -0.9916     -0.4335     0.4372      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  OBASE          SAT         39,10       -1.0064     -0.3486     0.3463      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  OZYSR          SAT         12,61       -0.4577     -0.1478     0.3228      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  KAPLM          SAT         426,75      1.3342      0.4186      0.3138      SAT sinyali riskli – para girişi var                                  
13.08.2026  SUWEN          SAT         6,57        -1.8409     -0.5440     0.2955      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  YGGYO          SAT         230,40      1.2304      0.3470      0.2820      SAT sinyali riskli – para girişi var                                  
13.08.2026  BSOKE          SAT         35,00       -3.1969     -0.6629     0.2074      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  TRCAS          SAT         44,34       1.1351      0.2030      0.1788      SAT sinyali riskli – para girişi var                                  
13.08.2026  DURKN          SAT         20,28       -1.3748     -0.2312     0.1682      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  TUKAS          SAT         1,99        -1.3199     -0.1782     0.1350      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  DOKTA          SAT         21,22       -1.7312     -0.1582     0.0914      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  KLNMA          SAT         8,91        -4.4000     -0.2694     0.0612      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  CONSE          SAT         2,26        -0.5556     -0.0210     0.0378      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  GESAN          SAT         81,40       -0.6739     -0.0246     0.0365      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  LILAK          SAT         29,72       -1.7639     -0.0574     0.0325      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  ASGYO          SAT         11,13       -4.1659     -0.1066     0.0256      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  YONGA          SAT         48,02       50.6667     1.1275      0.0223      SAT sinyali riskli – para girişi var                                  
13.08.2026  ATAGY          SAT         10,49       13.0000     0.0469      0.0036      SAT sinyali riskli – para girişi var                                  
13.08.2026  FRIGO          SAT         2,28        -3.1138     -0.0009     0.0003      Para çıkışı var ama hacim sınırlı                                     
13.08.2026  TURSG          SAT         6,22        -64.4314    0.0475      -0.0007     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
13.08.2026  ASUZU          SAT         46,96       -1003.0000  1.5237      -0.0015     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
13.08.2026  AGESA          SAT         237,00      -3.9011     0.0687      -0.0176     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
