# Son Güncelleme: 23.06.2026 19:06:00
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
23.06.2026  BASGZ          SAT         50,20       -0.1287     -0.4986     3.8732      Satış baskısı güçlü, hacim düşüşü sert                                
23.06.2026  TSKB           SAT         12,27       -0.4294     -0.5917     1.3781      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  IHGZT          SAT         1,38        1.3496      1.8066      1.3386      SAT sinyali riskli – para girişi var                                  
23.06.2026  ANHYT          SAT         102,30      -0.3220     -0.3947     1.2258      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  DOCO           SAT         11402,50    -0.6163     -0.5275     0.8559      Zayıf uyum, düşüş sınırlı                                             
23.06.2026  KLKIM          SAT         31,12       -0.9423     -0.6898     0.7321      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  BIENY          SAT         23,32       -0.9457     -0.6658     0.7040      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  AGESA          SAT         256,00      -0.8889     -0.6138     0.6905      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  NETAS          SAT         67,95       0.9517      0.6206      0.6521      SAT sinyali riskli – para girişi var                                  
23.06.2026  ADGYO          SAT         55,30       -0.7122     -0.4607     0.6469      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  BFREN          SAT         138,30      -0.9669     -0.6211     0.6423      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  NUHCM          SAT         225,00      -0.8498     -0.4618     0.5434      Para çıkışı var, hacim düşüşüyle destekleniyor                        
23.06.2026  VAKBN          SAT         33,74       -1.0057     -0.4597     0.4571      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  AKSGY          SAT         9,36        -1.0811     -0.4932     0.4562      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  TMSN           SAT         91,70       -1.1051     -0.4637     0.4196      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  DIRIT          SAT         25,40       -1.4020     -0.4709     0.3359      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  EUREN          SAT         4,62        -1.0906     -0.3506     0.3215      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ARZUM          SAT         2,15        -0.5023     -0.1448     0.2883      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  BULGS          SAT         41,70       -1.4370     -0.4073     0.2834      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KSTUR          SAT         2845,00     -0.9683     -0.2727     0.2816      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  MCARD          SAT         177,70      -1.6580     -0.4459     0.2689      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KONYA          SAT         3760,00     -1.5630     -0.3844     0.2459      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  SISE           SAT         45,14       -1.4507     -0.3260     0.2247      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  EKGYO          SAT         21,54       -1.5263     -0.3400     0.2228      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ISFIN          SAT         20,40       -1.4213     -0.3165     0.2227      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  AGYO           SAT         8,29        -1.5837     -0.3457     0.2183      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KCHOL          SAT         191,60      -1.5804     -0.3431     0.2171      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  SAHOL          SAT         99,15       -1.3585     -0.2935     0.2160      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KRDMD          SAT         40,00       -1.5912     -0.3226     0.2027      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ZRGYO          SAT         17,46       -1.0387     -0.1956     0.1883      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KARSN          SAT         13,10       -1.1318     -0.2124     0.1876      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  KLGYO          SAT         5,12        -3.1139     -0.5667     0.1820      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  MERCN          SAT         25,50       -1.0165     -0.1708     0.1681      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  HTTBT          SAT         40,62       -1.6590     -0.2740     0.1652      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  VANGD          SAT         97,95       -1.1468     -0.1762     0.1536      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  TSPOR          SAT         0,91        -5.1694     -0.7322     0.1416      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ECILC          SAT         82,35       -1.6079     -0.2089     0.1299      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ATLAS          SAT         7,67        1.8462      0.2319      0.1256      SAT sinyali riskli – para girişi var                                  
23.06.2026  ULUFA          SAT         1,92        -1.3046     -0.1347     0.1032      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ISCTR          SAT         15,18       -2.6354     -0.2379     0.0903      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  DGNMO          SAT         8,90        -4.7917     -0.3419     0.0713      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  AKSEN          SAT         83,25       -0.9464     -0.0593     0.0627      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  TKNSA          SAT         19,99       -3.3852     -0.2026     0.0598      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  EKIZ           SAT         81,05       -3.0000     -0.1416     0.0472      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  CEMTS          SAT         10,35       2.7676      0.1190      0.0430      SAT sinyali riskli – para girişi var                                  
23.06.2026  TEZOL          SAT         17,65       -6.5428     -0.2224     0.0340      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  VKFYO          SAT         28,00       -9.4375     -0.2759     0.0292      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  ESEN           SAT         3,84        -1.5452     -0.0417     0.0270      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  TRMET          SAT         110,70      -2.9674     -0.0720     0.0243      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  PLTUR          SAT         22,72       -5.8965     -0.1322     0.0224      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  TRENJ          SAT         88,25       1.5270      0.0306      0.0200      SAT sinyali riskli – para girişi var                                  
23.06.2026  ASTOR          SAT         296,00      1.3544      0.0210      0.0155      SAT sinyali riskli – para girişi var                                  
23.06.2026  PGSUS          SAT         178,10      -56.0923    -0.4536     0.0081      Para çıkışı var ama hacim sınırlı                                     
23.06.2026  XU100          SAT         14539,61    0.0000      0.0000      0.0000      Belirgin yön yok, nötr sinyal                                         
23.06.2026  ALKA           SAT         9,75        1.4551      -0.0048     -0.0033     SAT sinyali riskli – para girişi var                                  
23.06.2026  CANTE          SAT         1,47        1.6201      -0.0190     -0.0118     SAT sinyali riskli – para girişi var                                  
23.06.2026  SUWEN          SAT         7,46        -4.6000     0.0584      -0.0127     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
23.06.2026  PAPIL          SAT         14,86       0.8831      -0.0158     -0.0179     SAT sinyali riskli – para girişi var                                  
23.06.2026  VESBE          SAT         6,30        -4.3008     0.1164      -0.0271     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
23.06.2026  ALCAR          SAT         734,00      2.3521      -0.0838     -0.0356     SAT sinyali riskli – para girişi var                                  
23.06.2026  BIOEN          SAT         18,10       1.6327      -0.0709     -0.0434     SAT sinyali riskli – para girişi var                                  
23.06.2026  KUVVA          SAT         139,80      2.1018      -0.0981     -0.0467     SAT sinyali riskli – para girişi var                                  
23.06.2026  SASA           SAT         2,64        0.6635      -0.0339     -0.0510     SAT sinyali riskli – para girişi var                                  
